ori,state_fips,block_group_geoid,bg_responsibility_population_coverage_share,responsibility_fraction_basis
KYKSP0100,21,212219702022,1,census_2020_nonmunicipal_block_population
KYKSP0100,21,212219702023,0.238532110091743,census_2020_nonmunicipal_block_population
KYKSP0100,21,212219703011,1,census_2020_nonmunicipal_block_population
KYKSP0100,21,212219703012,1,census_2020_nonmunicipal_block_population
KYKSP0100,21,212219703021,1,census_2020_nonmunicipal_block_population
KYKSP0100,21,212219703022,1,census_2020_nonmunicipal_block_population
KYKSP0100,21,212219801001,1,census_2020_nonmunicipal_block_population
KYKSP0100,21,212219802001,1,census_2020_nonmunicipal_block_population
KYKSP0200,21,210339201001,1,census_2020_nonmunicipal_block_population
KYKSP0200,21,210339201002,1,census_2020_nonmunicipal_block_population
KYKSP0200,21,210339202001,0.950742240215924,census_2020_nonmunicipal_block_population
KYKSP0200,21,210339202002,0.148477157360406,census_2020_nonmunicipal_block_population
KYKSP0200,21,210339202003,0.215178571428571,census_2020_nonmunicipal_block_population
KYKSP0200,21,210339203011,0.0178571428571429,census_2020_nonmunicipal_block_population
KYKSP0200,21,210339203012,0.002,census_2020_nonmunicipal_block_population
KYKSP0200,21,210339203013,0.143181818181818,census_2020_nonmunicipal_block_population
KYKSP0200,21,210339203021,0.999090909090909,census_2020_nonmunicipal_block_population
KYKSP0200,21,210339203022,1,census_2020_nonmunicipal_block_population
KYKSP0200,21,210472003001,0.260377358490566,census_2020_nonmunicipal_block_population
KYKSP0200,21,210472003002,0.856277056277056,census_2020_nonmunicipal_block_population
KYKSP0200,21,210472003003,0.197297297297297,census_2020_nonmunicipal_block_population
KYKSP0200,21,210472003004,0.521106259097526,census_2020_nonmunicipal_block_population
KYKSP0200,21,210472006001,0.128038194444444,census_2020_nonmunicipal_block_population
KYKSP0200,21,210472006002,0.0136882129277567,census_2020_nonmunicipal_block_population
KYKSP0200,21,210472008002,0.00350262697022767,census_2020_nonmunicipal_block_population
KYKSP0200,21,210472009011,0.21405750798722,census_2020_nonmunicipal_block_population
KYKSP0200,21,210472009012,0.901386748844376,census_2020_nonmunicipal_block_population
KYKSP0200,21,210472009021,1,census_2020_nonmunicipal_block_population
KYKSP0200,21,210472009022,1,census_2020_nonmunicipal_block_population
KYKSP0200,21,210472009023,1,census_2020_nonmunicipal_block_population
KYKSP0200,21,210472010001,1,census_2020_nonmunicipal_block_population
KYKSP0200,21,210472010002,1,census_2020_nonmunicipal_block_population
KYKSP0200,21,210472011001,1,census_2020_nonmunicipal_block_population
KYKSP0200,21,210472011002,1,census_2020_nonmunicipal_block_population
