rule_version,stratum,lane,pop_min,pop_max,offense,n_units,n,agg_ratio,median_ratio,mult_lo80,mult_hi80,mult_lo95,mult_hi95,severe_under,severe_over,source
v2,municipal_<25k,municipal_jurisdiction,0.0,25000.0,larceny,229,218,1.1452614297874577,1.4219520586111325,0.2636228872127818,1.8888395875629571,0.0944964064576531,2.98969182396906,0.0871559633027523,0.3211009174311927,"E5 02_revalidate_imputation_v2.py, same 619 solo masks, size-aware municipal rates + cell-exposure floor"
v2,municipal_<25k,municipal_jurisdiction,0.0,25000.0,motor_vehicle_theft,229,181,1.021177808670344,1.2631533293971584,0.2443174471106327,2.563864226412858,0.1154310606719737,4.466731499295816,0.1823204419889502,0.3259668508287293,"E5 02_revalidate_imputation_v2.py, same 619 solo masks, size-aware municipal rates + cell-exposure floor"
v2,municipal_<25k,municipal_jurisdiction,0.0,25000.0,ALL,229,1055,1.1332141937501392,1.177081947623141,0.2624834939772612,2.860634542793151,0.0966735056622132,6.58342179049385,0.1943127962085308,0.2786729857819905,"E5 02_revalidate_imputation_v2.py, same 619 solo masks, size-aware municipal rates + cell-exposure floor"
v2,county_2.5k-150k,county_remainder,2500.0,150000.0,murder,183,78,1.1922095184963344,0.8145685551714734,0.4062591977659757,2.9158478184168564,0.2150181018503497,4.913955259296173,0.2307692307692307,0.1666666666666666,"E5 02_revalidate_imputation_v2.py, same 619 solo masks, size-aware municipal rates + cell-exposure floor"
v2,county_2.5k-150k,county_remainder,2500.0,150000.0,rape,183,163,0.9511338100834889,0.9894676644704996,0.3537527220985462,2.1510038542538044,0.1889123104705299,3.52737561128374,0.1349693251533742,0.2085889570552147,"E5 02_revalidate_imputation_v2.py, same 619 solo masks, size-aware municipal rates + cell-exposure floor"
v2,county_2.5k-150k,county_remainder,2500.0,150000.0,robbery,183,99,1.4059853351014475,0.9905557350501494,0.3035443053766215,4.43042186505582,0.2234320361518124,7.247274346247151,0.2626262626262626,0.2525252525252525,"E5 02_revalidate_imputation_v2.py, same 619 solo masks, size-aware municipal rates + cell-exposure floor"
v2,county_2.5k-150k,county_remainder,2500.0,150000.0,aggravated_assault,183,179,1.0181128619239626,1.133516566256968,0.404622642851839,1.8329987000613652,0.2130007520569275,2.866254654951642,0.0893854748603352,0.1564245810055866,"E5 02_revalidate_imputation_v2.py, same 619 solo masks, size-aware municipal rates + cell-exposure floor"
v2,county_2.5k-150k,county_remainder,2500.0,150000.0,burglary,183,180,1.0464847346550166,1.2272990636752494,0.3668327887840336,1.9260056965308343,0.174941789977076,2.572226647367787,0.0888888888888888,0.1888888888888888,"E5 02_revalidate_imputation_v2.py, same 619 solo masks, size-aware municipal rates + cell-exposure floor"
v2,county_2.5k-150k,county_remainder,2500.0,150000.0,larceny,183,182,1.097583246163871,1.242153143511557,0.4000548876936062,1.557283971222054,0.1657096603772438,2.3094727826303965,0.0384615384615384,0.1648351648351648,"E5 02_revalidate_imputation_v2.py, same 619 solo masks, size-aware municipal rates + cell-exposure floor"
v2,county_2.5k-150k,county_remainder,2500.0,150000.0,motor_vehicle_theft,183,173,1.158365898075791,1.208381107190172,0.3058054830941231,1.7818553269488944,0.1774075325639256,2.3461268338428605,0.0578034682080924,0.2832369942196532,"E5 02_revalidate_imputation_v2.py, same 619 solo masks, size-aware municipal rates + cell-exposure floor"
v2,county_2.5k-150k,county_remainder,2500.0,150000.0,ALL,183,1054,1.0800995862005487,1.1087166782594324,0.3539386895461966,2.0765255794953372,0.1836198374895879,3.77746891938677,0.1091081593927893,0.2020872865275142,"E5 02_revalidate_imputation_v2.py, same 619 solo masks, size-aware municipal rates + cell-exposure floor"
