service_scope_id,state_fips,block_group_geoid,bg_service_population_coverage_share,bg_land_area_coverage_share,coverage_basis
navajo_nation_police,04,040179424001,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040179424002,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040179425001,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040179425002,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040179425003,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040179604001,0.668253968253968,0.979782166752668,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040179605001,0.00218023255813953,0.309942520579511,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040179605002,0.0187332738626227,0.0299950843103287,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,04,040179606001,0.0477648499693815,0.870416926886481,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350019406021,0.986624203821656,0.868474830002776,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350069458002,0.445643793369314,0.123533360802241,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350069461001,0.0514640638864241,0.163784693378479,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350069747015,0,0.057729598545596,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350319435001,0.938196555217832,0.369235105825219,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350319435002,0.93543428132206,0.88507960850698,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350319435003,0.993894165535957,0.733933755236939,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350319436011,0.98216276477146,0.834107663335098,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350319436012,0.992069214131218,0.73720366691937,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350319436013,0.886222910216718,0.75736245623161,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350319436021,0.997621878715815,0.947811403865192,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350319436022,0.755959849435383,0.438687462184164,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350319436023,0.979910714285714,0.876894052158134,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350319437011,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350319437012,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350319437021,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350319437022,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350319438011,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350319438021,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350319438022,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350319438031,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350319438032,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350319439031,0.837249782419495,0.650503467801569,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350319439032,0.838852097130243,0.707880471886784,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350319439041,0.596560846560847,0.639315940362711,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350319439042,0.878198567041965,0.711189439185401,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350319439051,0.735987002437043,0.580335097799051,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350319439061,0.440265486725664,0.444445510875691,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350319439071,0.379074658254469,0.437837078776158,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350319440001,0.809168443496802,0.121642873029177,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350319440002,0.873949579831933,0.278258856853949,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350319457011,0.57935735150925,0.714135759708597,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350319457021,0.877391920623671,0.624456795048216,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350319460011,0.714468629961588,0.733464295440904,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350319460012,0.195147679324895,0.295218388415147,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350319460021,0.245925925925926,0.196134222077228,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350319460031,0.600760456273764,0.165160298251032,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350319460032,0.983208955223881,0.824819798088895,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350319731001,0.143790849673203,0.230168973677538,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350319800001,0,0.0215031935107005,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350399410002,0.0828193832599119,0.00125598955559419,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350430109002,0,0.00192775215707926,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350439409001,0.937161430119177,0.14371414205627,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350439409002,0.970375722543353,0.305287725135535,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350450007021,0,0.000333539710053399,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350459428011,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350459428012,1,0.998871716791463,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350459428013,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350459428021,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350459428022,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350459428023,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350459428024,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350459428031,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350459428032,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350459428033,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350459429001,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350459429002,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350459429003,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350459429004,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350459429005,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350459429006,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350459430001,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350459430002,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350459430003,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350459431001,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350459431002,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350459432012,0.876995305164319,0.404298845137729,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350459432013,0.934450109249818,0.652542600842515,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350459432014,0.756578947368421,0.135271833083253,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350459432015,0.902412280701754,0.231482234672338,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,35,350539400001,0.973231357552581,0.209872851244836,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,49,490379420001,0.999478351591028,0.993676689391514,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,49,490379420002,1,1,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,49,490379421001,1,0.999354429762294,census_2020_block_aiannh_land_fraction_excluding_ramah
navajo_nation_police,49,490379421002,1,0.999767359587471,census_2020_block_aiannh_land_fraction_excluding_ramah
