ori9,ori7,state_fips,state_abbr,agency_name_raw,agency_name_std,agency_type_raw,agency_type_norm,source_presence_srs,source_presence_nibrs,srs_years,nibrs_years,srs_year_count,nibrs_year_count,latest_srs_year,latest_nibrs_year,latest_srs_part1_total,latest_srs_months_reported,latest_srs_months_missing,population_latest_nibrs,name_alias_group,manual_review_flag
CA0049941,CA00499,06,CA,Highway Patrol: Chico Area Office,HIGHWAY PATROL CHICO AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL CHICO AREA OFFICE,False
CA0209956,CA02099,06,CA,Highway Patrol: Oakhurst Area Office,HIGHWAY PATROL OAKHURST AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL OAKHURST AREA OFFICE,False
CA0199950,CA01999,06,CA,Highway Patrol: Santa Fe Springs Area Office,HIGHWAY PATROL SANTA FE SPRINGS AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL SANTA FE SPRINGS AREA OFFICE,False
CA0279930,CA02799,06,CA,Highway Patrol: Monterey Area Office,HIGHWAY PATROL MONTEREY AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL MONTEREY AREA OFFICE,False
CA0429950,CA04299,06,CA,Highway Patrol: Santa Maria Area Office,HIGHWAY PATROL SANTA MARIA AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL SANTA MARIA AREA OFFICE,False
CA0341201,CA03412,06,CA,California State Parks: Gold Fields,CALIFORNIA STATE PARKS GOLD FIELDS,Other State Agency,state_law_enforcement,False,True,,2024,,1,,2024,,,,,CALIFORNIA STATE PARKS GOLD FIELDS,False
CA0129926,CA01299,06,CA,Highway Patrol: Garberville Area Office,HIGHWAY PATROL GARBERVILLE AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL GARBERVILLE AREA OFFICE,False
CA0369930,CA03699,06,CA,Highway Patrol: Barstow Area Office,HIGHWAY PATROL BARSTOW AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL BARSTOW AREA OFFICE,False
CA0199930,CA01999,06,CA,Highway Patrol: South Los Angeles Area Office,HIGHWAY PATROL SOUTH LOS ANGELES AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL SOUTH LOS ANGELES AREA OFFICE,False
CA0439940,CA04399,06,CA,Highway Patrol: San Jose Area Office,HIGHWAY PATROL SAN JOSE AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL SAN JOSE AREA OFFICE,False
CA0429960,CA04299,06,CA,Highway Patrol: Santa Barbara Area Office,HIGHWAY PATROL SANTA BARBARA AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL SANTA BARBARA AREA OFFICE,False
CA0019990,CA00199,06,CA,Highway Patrol: Dublin Area Office,HIGHWAY PATROL DUBLIN AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL DUBLIN AREA OFFICE,False
CA0249961,CA02499,06,CA,Highway Patrol: Los Banos Area Office,HIGHWAY PATROL LOS BANOS AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL LOS BANOS AREA OFFICE,False
CA0379950,CA03799,06,CA,Highway Patrol: Oceanside Area Office,HIGHWAY PATROL OCEANSIDE AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL OCEANSIDE AREA OFFICE,False
CA0199990,CA01999,06,CA,Highway Patrol: Central Los Angeles Area Office,HIGHWAY PATROL CENTRAL LOS ANGELES AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL CENTRAL LOS ANGELES AREA OFFICE,False
CA0539975,CA05399,06,CA,Highway Patrol: Trinity River Area Office,HIGHWAY PATROL TRINITY RIVER AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL TRINITY RIVER AREA OFFICE,False
CA010015M,CA01001,06,CA,Coalinga State Hospital,COALINGA STATE HOSPITAL,Other State Agency,state_law_enforcement,False,True,,2024,,1,,2024,,,,,COALINGA STATE HOSPITAL,False
CA0119960,CA01199,06,CA,Highway Patrol: Willows Area Office,HIGHWAY PATROL WILLOWS AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL WILLOWS AREA OFFICE,False
CA0199965,CA01999,06,CA,Highway Patrol: West Los Angeles Area Office,HIGHWAY PATROL WEST LOS ANGELES AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL WEST LOS ANGELES AREA OFFICE,False
CA0199975,CA01999,06,CA,Highway Patrol: Altadena Area Office,HIGHWAY PATROL ALTADENA AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL ALTADENA AREA OFFICE,False
CA0429955,CA04299,06,CA,Highway Patrol: Buellton Area Office,HIGHWAY PATROL BUELLTON AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL BUELLTON AREA OFFICE,False
CA0199980,CA01999,06,CA,Highway Patrol: West Valley Area Office,HIGHWAY PATROL WEST VALLEY AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL WEST VALLEY AREA OFFICE,False
CA0409940,CA04099,06,CA,Highway Patrol: Templeton Area Office,HIGHWAY PATROL TEMPLETON AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL TEMPLETON AREA OFFICE,False
CA0579980,CA05799,06,CA,Highway Patrol: Woodland Area Office,HIGHWAY PATROL WOODLAND AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL WOODLAND AREA OFFICE,False
CA0039995,CA00399,06,CA,Highway Patrol: Amador Area Office,HIGHWAY PATROL AMADOR AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL AMADOR AREA OFFICE,False
CA0489965,CA04899,06,CA,Highway Patrol: Solano Area Office,HIGHWAY PATROL SOLANO AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL SOLANO AREA OFFICE,False
CA0159926,CA01599,06,CA,Highway Patrol: Buttonwillow Area Office,HIGHWAY PATROL BUTTONWILLOW AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL BUTTONWILLOW AREA OFFICE,False
CA0439925,CA04399,06,CA,Highway Patrol: Hollister-Gilroy Area Office,HIGHWAY PATROL HOLLISTER GILROY AREA OFFICE,State Police,state_law_enforcement,False,True,,2024,,1,,2024,,,,,HIGHWAY PATROL HOLLISTER GILROY AREA OFFICE,False
