state_abbr,year,source_sheet,source_row_number,county,agency_name,agency_name_normalized,population_estimate,quarters_reported,months_reported,offense_level,offense_bucket,offense_name,offense_name_source,offense_slug,period,quarter,month,month_name,incident_count,annual_rate
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,violent,Aggravated Assault,Aggravated Assault,aggravated_assault,M12,4,12,Dec,13,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,violent,Aggravated Assault,Aggravated Assault,aggravated_assault,YTD,,,,207,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,property,Burglary,Burglary,burglary,M01,1,1,Jan,14,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,property,Burglary,Burglary,burglary,M02,1,2,Feb,25,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,property,Burglary,Burglary,burglary,M03,1,3,Mar,35,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,property,Burglary,Burglary,burglary,M04,2,4,Apr,25,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,property,Burglary,Burglary,burglary,M05,2,5,May,32,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,property,Burglary,Burglary,burglary,M06,2,6,Jun,22,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,property,Burglary,Burglary,burglary,M07,3,7,Jul,28,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,property,Burglary,Burglary,burglary,M08,3,8,Aug,17,
FL,2024,FIBRS Offense 2024,4,Alachua,Alachua County Sheriff's Office,alachua county sheriff,127779,4,12,detail_offense,property,Burglary,Burglary,burglary,M09,3,9,Sep,18,
