block_group_geoid,state_fips,population_2024,households_total,exposure_proxy_2024,vehicle_exposure_2024,burglary_premises_total,land_area_sq_mi,expected_count_total,crime_density_total,non_residential_flag,special_use_tract_flag,suppression_reasons,suppression_modes,n_offenses_published,n_neighbours,n_neighbours_coloured,neighbour_median_index,neighbour_max_index
211110121030,21,0,0,0.0,0.0,0.0,0.0,0.0,,True,False,zero_or_structural_denominator,non_residential,0,7.0,5.0,66.58931803144502,202.1483474511339
211110121040,21,0,0,4.0,0.0,0.0,0.0,0.0,,True,False,zero_or_structural_denominator,non_residential,0,6.0,5.0,135.67376088944235,202.1483474511339
211110127010,21,0,0,7.0,0.0,0.0,0.0,0.0,,True,False,zero_or_structural_denominator,non_residential,0,8.0,6.0,241.20872231689924,513.7714894983892
211110127020,21,0,0,0.0,0.0,0.0,0.0,0.0,,True,False,zero_or_structural_denominator,non_residential,0,7.0,5.0,157.9806024471733,361.2192141997774
211110127030,21,0,0,0.0,0.0,0.0,0.0,0.0,,True,False,zero_or_structural_denominator,non_residential,0,8.0,6.0,78.12269030559273,178.21399824513824
211119801001,21,0,0,31110.0,25179.369609265723,1774.2019752807787,6.803523897258355,162.52667483101285,23.88860203702774,True,True,,non_residential,0,11.0,11.0,233.09753532910375,509.800931964631
211439801001,21,0,0,0.0,0.0,0.0,65.78132013123412,0.0,0.0,True,True,zero_or_structural_denominator,non_residential,0,12.0,11.0,34.287038218875495,69.643292115724
212219801001,21,6,0,72.0,52.814661383285305,35.99293109369145,102.36619889347678,0.16299600031797912,0.0015922834107339892,True,True,,non_residential,0,14.0,12.0,20.07367510812324,49.09448023851301
212219802001,21,0,0,93.0,0.0,0.0,35.32580502850262,0.0,0.0,True,True,zero_or_structural_denominator,non_residential,0,5.0,3.0,29.957983440987228,51.38497006336865
212259501000,21,0,0,1.0,0.0,0.0,0.0,0.0,,True,False,zero_or_structural_denominator,non_residential,0,7.0,6.0,21.906889135250005,90.90964827931018
212259502020,21,0,0,0.0,0.0,0.0,0.0,0.0,,True,False,zero_or_structural_denominator,non_residential,0,8.0,6.0,20.726390765232686,115.95097012011851
212259503000,21,0,0,0.0,0.0,0.0,0.0,0.0,,True,False,zero_or_structural_denominator,non_residential,0,5.0,4.0,15.470285249464027,25.021793792772954
220039502021,22,2062,9,2838.0,176.28754076973254,9.0,2.086686799500404,0.7108425518624645,0.34065608314225926,True,False,,non_residential,0,4.0,4.0,37.47038248865328,66.7733835012301
220179800001,22,0,0,420.0,353.61731273368,80.76775038743699,2.6799443492425916,8.388513751052724,3.1301074417547117,True,True,,non_residential,0,9.0,9.0,321.9201754425316,427.4609058652174
220190016003,22,698,0,1971.0,140.20898035956432,8.50013824031691,1.0584658629957957,3.728501549339993,3.5225524787234477,True,False,,non_residential,0,5.0,4.0,227.0694829028555,364.520092321574
220199800001,22,0,0,2662.0,1060.6718319408599,68.45788746842486,2.079908003901995,7.4898449083936365,3.601046245479306,True,True,,non_residential,0,6.0,5.0,194.61629244621776,459.4145990029222
220199801001,22,0,0,407.0,327.76125278859195,102.08436668489698,1.7123368184111085,6.3329612477660175,3.698431978845391,True,True,,non_residential,0,7.0,7.0,112.54553147750796,213.36732521610355
220239900000,22,0,0,0.0,0.0,0.0,0.0,0.0,,True,False,zero_or_structural_denominator,non_residential,0,9.0,7.0,60.181319892756406,173.76216137157115
220330028011,22,1677,0,5241.0,8007.811837326816,235.23837985955154,0.9618955354972654,9.937370939789128,10.331029278196894,True,False,,non_residential,0,7.0,7.0,86.15532702571019,301.5922158485537
220330039091,22,0,0,745.0,542.5323097294297,492.9933667822138,0.08292624941818749,12.565626213038794,151.52772856845115,True,False,,non_residential,0,6.0,6.0,87.48747768268429,143.93935902424946
220339800001,22,0,0,304.0,294.41769465188054,190.47714307504486,1.4270764354976133,5.577932801893405,3.908643337627821,True,True,,non_residential,0,7.0,7.0,111.3958251598069,174.8784042802362
220399501021,22,229,3,851.0,140.4506101362786,3.0391062994026767,0.8203412177054358,0.2643942936405424,0.3222979510648944,True,False,,non_residential,0,5.0,5.0,14.532948830934622,18.96688877215378
220450304027,22,0,0,149.0,0.0,22.594819661916112,0.059197955159724654,0.2825576817615333,4.773098682195217,True,False,zero_or_structural_denominator,non_residential,0,5.0,5.0,162.7650282448731,366.30814649187977
220459900000,22,0,0,0.0,0.0,0.0,0.0,0.0,,True,False,zero_or_structural_denominator,non_residential,0,4.0,2.0,102.36404602520527,126.95662180850681
220479532004,22,1761,0,2594.0,7.300606164091181,0.0,1.577323457287995,3.022328741370398,1.9161122136399997,True,False,zero_or_structural_denominator,non_residential,0,1.0,1.0,53.11019761095926,53.11019761095926
220510250041,22,0,0,143.0,136.32009360982903,113.61210361585559,0.1656918803384005,4.955791131210253,29.909680070555073,True,False,,non_residential,0,6.0,6.0,84.2365226409892,217.69653032481443
220519800001,22,0,0,3493.0,2708.9249371183973,931.0297804006734,1.9069794108050946,31.55096117087237,16.54499308807539,True,True,,non_residential,0,9.0,9.0,192.44083348441814,523.9122687900533
220519900000,22,0,0,1.0,0.0,0.0,0.0,0.0,,True,False,zero_or_structural_denominator,non_residential,0,16.0,14.0,85.62193219167833,258.68707036887196
220519901000,22,0,0,0.0,0.0,0.0,0.0,0.0,,True,False,zero_or_structural_denominator,non_residential,0,6.0,4.0,124.28437773211206,171.70733177566288
220550014201,22,15,0,3730.0,2886.298573190065,658.7860829050829,0.3371432465765258,44.67591280642413,132.51314763110184,True,False,,non_residential,0,5.0,5.0,116.1076117210107,247.3723591857213
220550014213,22,0,0,1463.0,490.93729082261757,27.85528730972695,0.15243042949722269,8.83262987043329,57.94531905189064,True,False,,non_residential,0,6.0,6.0,171.84797830813872,465.1132430546888
220550022005,22,2,0,5217.0,1776.3160119781573,158.16373763341278,0.08264941417047664,13.270496966199595,160.563714811423,True,False,,non_residential,0,5.0,4.0,167.86456578852693,229.7020093213072
220550022008,22,0,0,4923.0,8.59785097762903,113.01320460898324,0.09411085674829604,1.315690632596114,13.980221603071696,True,False,,non_residential,0,5.0,4.0,114.77449203030903,168.5915194108599
220579900000,22,0,0,0.0,0.0,0.0,0.0,0.0,,True,False,zero_or_structural_denominator,non_residential,0,5.0,3.0,115.03418427019223,126.14435336735184
220710017562,22,0,0,118.0,83.44476177415797,103.21759737197013,0.06905321275779912,8.129123902993435,117.72260229956211,True,False,,non_residential,0,5.0,5.0,361.06332567926177,635.3720085526314
220710070001,22,560,0,2342.0,607.4495793559466,22.594819661916112,0.06582037938390381,15.26280155127521,231.88565143712444,True,False,,non_residential,0,5.0,5.0,559.568198905477,620.5045536774437
220710145001,22,1781,0,4198.0,1819.5201020754955,67.78445898574833,0.07981426601993166,15.885905853607094,199.03591983969352,True,False,,non_residential,0,7.0,7.0,240.81848035899066,620.5045536774437
220719800001,22,5,0,1543.0,331.65757010237365,158.16373763341278,1.9155134268164653,28.404581546196148,14.828703964452936,True,True,,non_residential,0,20.0,20.0,127.00370361535911,291.6929126502517
220719801001,22,0,0,188.0,107.48816770908485,73.67501292781422,12.03988384332776,7.233269076112223,0.6007756528415964,True,True,,non_residential,0,10.0,9.0,275.4718916175442,402.6043867067152
220719900000,22,0,0,0.0,0.0,0.0,0.0,0.0,,True,False,zero_or_structural_denominator,non_residential,0,14.0,12.0,144.51026472672325,693.8954992608484
220739800001,22,0,0,179.0,96.95683295595646,24.39370943443924,2.995595605263223,3.132463778246266,1.0456898029702566,True,True,,non_residential,0,6.0,6.0,189.6317845518999,442.40795453448743
220759900000,22,0,0,0.0,0.0,0.0,0.0,0.0,,True,False,zero_or_structural_denominator,non_residential,0,8.0,5.0,70.2921995350452,215.83522743762626
220799800001,22,0,0,1119.0,407.6410672032493,3.9106299402676696,2.7099170737119715,6.327793910812948,2.3350507556843083,True,True,,non_residential,0,4.0,4.0,122.04905587823475,222.540147953583
220870301051,22,0,0,0.0,0.0,0.0,9.864346442887724,0.0,0.0,True,False,zero_or_structural_denominator,non_residential,0,3.0,1.0,59.60018371459202,59.60018371459202
220879900000,22,0,0,0.0,0.0,0.0,0.0,0.0,,True,False,zero_or_structural_denominator,non_residential,0,9.0,4.0,134.23858931002542,215.83522743762626
221019900000,22,0,0,0.0,0.0,0.0,0.0,0.0,,True,False,zero_or_structural_denominator,non_residential,0,5.0,3.0,77.77147024190373,126.95662180850681
221039900000,22,0,0,0.0,0.0,0.0,0.0,0.0,,True,False,zero_or_structural_denominator,non_residential,0,17.0,15.0,35.0255096671883,130.91858932196828
221099900000,22,0,0,0.0,0.0,0.0,0.0,0.0,,True,False,zero_or_structural_denominator,non_residential,0,7.0,5.0,123.53781920593218,126.95662180850681
221139900000,22,0,0,0.0,0.0,0.0,0.0,0.0,,True,False,zero_or_structural_denominator,non_residential,0,6.0,4.0,53.27751145129244,77.77147024190373
221159507012,22,1158,0,2966.0,1484.8994120219643,459.0133137318072,2.021314684722626,9.269172491249488,4.585714713946902,True,False,,non_residential,0,7.0,6.0,29.438067548979177,134.64687455545348
221159507031,22,0,0,843.0,1.7836629573837408,0.0,3.599355519821286,0.0,0.0,True,False,zero_or_structural_denominator,non_residential,0,6.0,5.0,33.52579652077076,59.223599797448514
221259517031,22,0,0,15.0,0.0,0.0,32.754238782972635,0.0,0.0,True,False,zero_or_structural_denominator,non_residential,0,6.0,5.0,38.85154641253222,68.51539216699531
230010203011,23,589,0,2236.0,0.0,22.594819661916112,0.07675826743467173,3.6144406122273347,47.08861641911801,True,False,zero_or_structural_denominator,non_residential,0,5.0,5.0,36.299480868917826,60.35934450591285
230059900000,23,0,0,0.0,0.0,0.0,0.0,0.0,,True,False,zero_or_structural_denominator,non_residential,0,10.0,8.0,23.538940970750094,73.44707241273926
