block_group_geoid,state_fips,class_strict_three_fates,class_loose_grey_plus_4band_span,class_no_grey_5band_chasm,n_nb,n_grey_nb,band,idx,cnt,pop,expo,land,nb_band_min,nb_band_max,nb_idx_min,nb_idx_max,nb_cnt_max,nb_pop_max,nb_land_max,neighbourhood_band_span,neighbourhood_max_count
170317402003,17,False,False,True,7,0,2.0,30.3030014958322,7.321146404442905,1610,1610.0,0.12791139801796234,1.0,6.0,21.24643775582977,146.67994439125366,15.2238497924035,2211,0.16049571748806216,5.0,15.2238497924035
170317403002,17,False,False,True,7,0,3.0,50.99341031218355,13.239225944050677,953,2045.0,0.16049571748806216,1.0,6.0,21.24643775582977,143.39702403863762,16.30567739210206,1610,0.12791139801796234,5.0,16.30567739210206
170318001002,17,False,True,False,10,2,2.0,27.201589483006565,6.139580178760479,1473,1473.0,0.55869754552657,0.0,4.0,10.718420214215215,82.1489706174783,20.607547673939937,1318,0.6648432065581954,4.0,20.607547673939937
170318016032,17,False,True,False,8,1,2.0,40.61036266408863,49.916953399731334,2163,8884.0,0.9841157147242657,1.0,5.0,20.205797060799714,112.21795424005683,38.31833643606597,3046,2.117164159491064,4.0,49.916953399731334
170318025053,17,False,True,False,9,0,,,9.675387096281291,0,2935.0,0.7639185648616742,1.0,5.0,17.262025642794416,112.21795424005683,49.916953399731334,2301,1.2645830254409933,4.0,49.916953399731334
170318025056,17,False,True,False,6,1,5.0,112.21795424005683,29.28682099288834,1644,1644.0,0.10933216214648955,1.0,3.0,17.262025642794416,51.82911308956983,49.916953399731334,2343,2.117164159491064,4.0,49.916953399731334
170318025061,17,False,True,False,10,1,3.0,51.82911308956983,16.28878118382002,1394,1906.0,1.2645830254409933,1.0,5.0,16.99110295575624,112.21795424005683,49.916953399731334,2163,1.1415060125507681,4.0,49.916953399731334
170318026092,17,False,True,False,5,1,1.0,17.262025642794416,1.9420765770865909,245,1240.0,0.05102301415584491,1.0,5.0,20.407771096084485,112.21795424005683,29.28682099288834,2343,0.7639185648616742,4.0,29.28682099288834
170318236041,17,False,False,True,5,0,6.0,134.58754165964717,16.574706232261068,752,761.0,0.2494536548277822,0.0,6.0,11.878446379501247,151.15343270804527,23.6298669167105,1731,0.6461647424319643,6.0,23.6298669167105
170318236042,17,False,False,True,6,0,6.0,151.15343270804527,23.6298669167105,646,1000.0,0.29161099121802536,0.0,6.0,11.878446379501247,134.58754165964717,16.574706232261068,2066,0.8349219796225242,6.0,23.6298669167105
170318236043,17,False,False,True,7,0,2.0,38.70832645841156,12.851958548896093,2066,2066.0,0.8349219796225242,0.0,6.0,11.878446379501247,151.15343270804527,23.6298669167105,1839,2.9230257740449628,6.0,23.6298669167105
170318239031,17,False,False,True,10,0,1.0,19.461564046779955,13.541816922442752,1055,5246.0,0.6129089913080721,0.0,6.0,11.878446379501247,134.58754165964717,19.17784610160132,1904,2.419158982162277,6.0,19.17784610160132
170318239041,17,False,False,True,4,0,5.0,117.67150953339949,11.929658103080095,619,619.0,0.22709061780210257,0.0,6.0,11.878446379501247,134.58754165964717,16.574706232261068,1731,0.6461647424319643,6.0,16.574706232261068
170318239042,17,False,False,True,6,0,3.0,51.382088668713344,5.824280208118491,639,639.0,0.27690551830371146,1.0,6.0,19.461564046779955,151.15343270804527,23.6298669167105,1204,0.6129089913080721,5.0,23.6298669167105
170318239043,17,False,False,True,5,0,2.0,36.37986602805642,5.804130294942278,1040,1040.0,0.19536730614566414,1.0,6.0,15.407419799511379,151.15343270804527,23.6298669167105,2066,0.8349219796225242,5.0,23.6298669167105
170318239044,17,False,False,True,8,0,1.0,15.407419799511379,3.9270751866342546,1597,1603.0,0.7322910065405668,1.0,6.0,16.687394404421546,151.15343270804527,23.6298669167105,2066,2.9230257740449628,5.0,23.6298669167105
170338803002,17,False,False,True,4,0,2.0,31.35085125402667,5.093387524916883,593,1434.0,0.6315870693321446,0.0,5.0,10.514584348536234,112.45505857937404,21.28315653694118,1155,66.42198407621261,5.0,21.28315653694118
170438455024,17,False,False,True,5,0,3.0,55.151064270736164,18.15612289130317,1818,1989.0,0.22324388199604517,0.0,5.0,11.710682264013096,102.27037076945977,21.63745635074842,2194,0.8869044576424716,5.0,21.63745635074842
170438465111,17,False,False,True,7,0,4.0,75.2444097972668,20.244558497138982,1613,1651.0,0.2737379361946183,1.0,6.0,19.14489674569652,141.11626385508958,24.57407828752857,1717,0.45612487387056,5.0,24.57407828752857
170438465151,17,False,False,True,5,0,6.0,141.11626385508958,24.57407828752857,977,1000.0,0.11459048744436129,1.0,4.0,19.14489674569652,75.2444097972668,20.244558497138982,2398,0.45612487387056,5.0,24.57407828752857
170438465152,17,False,False,True,5,0,2.0,33.01032443862842,6.948151053554771,697,2116.0,0.23187828456865,1.0,6.0,19.14489674569652,141.11626385508958,24.57407828752857,2398,0.45612487387056,5.0,24.57407828752857
170438465154,17,False,False,True,7,0,2.0,36.88120766861776,13.193840283536762,2398,2398.0,0.328598805806873,1.0,6.0,19.14489674569652,141.11626385508958,24.57407828752857,2019,0.45612487387056,5.0,24.57407828752857
170519505002,17,False,False,True,7,0,2.0,37.01369527743477,5.814204798143447,982,982.0,20.7498520137994,1.0,6.0,15.329505265558085,154.36577308837937,15.631175996543751,1488,57.843524231468386,5.0,15.631175996543751
170519505003,17,False,False,True,2,0,6.0,154.36577308837937,15.631175996543751,639,639.0,2.7689802792183476,1.0,2.0,19.485526700857847,37.01369527743477,5.814204798143447,982,52.808264436395426,5.0,15.631175996543751
170519511001,17,False,False,True,6,0,1.0,19.485526700857847,1.843150676223453,534,600.0,52.808264436395426,1.0,6.0,16.49219040223772,154.36577308837937,15.631175996543751,1488,57.192299620248065,5.0,15.631175996543751
170550402001,17,False,False,True,9,0,2.0,25.10896226036678,2.53694510969351,618,618.0,26.94213295056401,0.0,5.0,5.461311089842292,110.05582822001402,19.706208023964297,1744,35.6289508217086,5.0,19.706208023964297
170550404005,17,False,False,True,12,0,1.0,24.534613366857627,3.2958071810354506,531,936.0,23.045955604792333,2.0,6.0,25.10896226036678,144.17120200494298,19.706208023964297,1134,26.988091848807755,5.0,19.706208023964297
170550408002,17,False,False,True,6,0,1.0,13.07291125603487,3.1566377266322103,1452,1452.0,22.692164019239456,2.0,7.0,31.104042349901714,206.1418654458236,22.92728550453665,1827,46.290714052737485,6.0,22.92728550453665
170579529002,17,False,False,True,11,0,2.0,41.54709559763275,7.651635299811246,1041,1041.0,39.47961869214913,1.0,6.0,23.175360444412448,144.450479059632,19.492756930755938,2547,69.14671704805626,5.0,19.492756930755938
170579529003,17,False,False,True,5,0,2.0,26.779868761828293,4.132711462768857,1047,1047.0,28.730011428508064,1.0,6.0,23.175360444412448,144.450479059632,19.492756930755938,1308,67.14889513527535,5.0,19.492756930755938
170579530002,17,False,False,True,7,0,3.0,66.49455375125004,7.198791587413917,580,595.0,68.01822731147597,1.0,6.0,12.781968555029088,146.91500399369096,16.76508635696794,713,74.42763897475962,5.0,16.76508635696794
170579535004,17,False,False,True,7,0,3.0,58.865740191072355,7.2336968545749265,290,786.0,3.362988797658998,1.0,6.0,22.009029347574963,144.450479059632,19.492756930755938,1277,67.14889513527535,5.0,19.492756930755938
170579537001,17,False,False,True,10,0,6.0,144.450479059632,19.492756930755938,807,807.0,67.14889513527535,1.0,3.0,12.672893139736566,58.865740191072355,14.424768657417196,1843,70.14630387627533,5.0,19.492756930755938
170579537003,17,False,False,True,6,0,2.0,41.41327746076827,7.405162840360022,986,986.0,11.37101243294897,1.0,6.0,22.009029347574963,144.450479059632,19.492756930755938,807,67.14889513527535,5.0,19.492756930755938
170599728001,17,False,True,False,7,2,4.0,90.90964827931018,3.939691222631631,210,210.0,37.44477074066568,1.0,5.0,16.430987737692423,115.95097012011851,11.313463205086478,1482,89.51634260591258,4.0,11.313463205086478
170599728003,17,False,True,False,7,1,5.0,115.95097012011851,11.15326384452234,394,565.0,45.42816569146335,1.0,4.0,16.430987737692423,90.90964827931018,10.700411610324073,843,89.51634260591258,4.0,11.15326384452234
170619736002,17,False,False,True,9,0,1.0,17.750489313622474,1.936700662140629,703,703.0,62.66234867000992,0.0,6.0,11.688433267039683,173.32217507924358,18.23526151416914,2226,84.22882682654478,6.0,18.23526151416914
170619736003,17,False,False,True,15,0,2.0,25.998707311233925,4.677142910340571,1131,1131.0,132.50451678714464,0.0,6.0,6.397471090199937,136.74509538240082,11.824479308386096,1260,143.35560714215018,6.0,11.824479308386096
