block_group_geoid,state_fips,tract_id,population_2024,households_total,daytime_population_jobs_proxy,landscan_day_pop,exposure_proxy_2024,exposure_lift_ratio,landscan_over_resident,destination_poi_total,commercial_premises_total,lodes_retail_jobs,retail_jobs_per_resident,land_area_sq_mi,urban_stratum,expected_count_total,index_total_primary_event_weighted,index_larceny_primary,expected_count_larceny,index_motor_vehicle_theft_primary,index_robbery_primary,reliability_tier_larceny,numerator_support_source_larceny,source_mode_larceny,transient_exposure_likely_larceny,recommended_display_geography_larceny
060730198031,06,06073019803,2954,1298,2966,2797.0,2966.0,1.004062288422478,0.9468517264725795,62.0,62.0,521,0.17637102234258634,0.6869823043318913,urban,157.22275367647853,313.14251500411467,402.28012884146654,109.27589079037111,179.12050400947555,167.6687650728904,low,model_only,modeled_transfer,False,tract_or_larger
320030058491,32,32003005849,1753,783,1753,1602.0,1753.0,1.0,0.9138619509412436,25.0,25.0,225,0.12835139760410724,0.30744774345701537,urban_core,100.13503710372188,312.9701496651274,335.33546452064354,53.83764201963098,477.8590813808543,217.34051653126818,low,model_only,modeled_transfer,False,tract_or_larger
080310068121,08,08031006812,1253,665,1253,1164.0,1253.0,1.0,0.9289704708699122,11.0,11.0,192,0.15323224261771748,0.3966643692429924,urban,67.60106216677448,312.95741954736053,316.85747391543663,36.36132117355396,364.9114997271452,551.3125456687683,low,direct_city_incident,direct_city_incident,False,tract_or_larger
371190056112,37,37119005611,3418,1346,3418,1173.0,3418.0,1.0,0.34318314803978933,19.0,19.0,296,0.08660035108250438,1.6750316278478978,suburban,169.53708290412834,312.91325801841145,335.02877539920377,104.87664757030142,373.355692191601,290.11571139325116,low,model_only,modeled_transfer,False,tract_or_larger
170313206001,17,17031320600,2300,1536,2300,1602.0,2300.0,1.0,0.6965217391304348,32.0,32.0,117,0.050869565217391305,0.1736969363924995,urban_core,111.27431037258938,312.89679402964583,355.4325028057905,74.87030527197906,464.0180747956998,920.3056035238134,high,direct_city_incident,direct_city_incident,False,block_group
060650514023,06,06065051402,1359,829,1690,1309.0,1690.0,1.243561442236939,0.9632082413539367,34.0,34.0,409,0.30095658572479767,0.6476624327051448,urban_core,88.85898626236352,312.8590879289792,425.85289989367107,65.91297920344687,214.76299804583073,107.95783537974681,low,model_only,modeled_transfer,False,tract_or_larger
510594216003,51,51059421600,973,361,973,648.0,973.0,1.0,0.6659815005138746,20.0,20.0,175,0.17985611510791366,0.1847699601987748,urban_core,47.852130688844966,312.8417487290241,430.3971089951803,38.353659998176845,179.01221493114747,483.0835433926242,low,model_only,modeled_transfer,False,tract_or_larger
360470553001,36,36047055300,969,488,1192,984.0,1192.0,1.2301341589267285,1.0154798761609907,44.0,44.0,211,0.21775025799793601,0.017225947805605952,urban_core,58.574381461453825,312.7847914659037,387.3392859578313,42.285593568205215,108.02682137688271,858.1571415598963,high,direct_city_incident,direct_city_incident,False,block_group
530330053062,53,53033005306,1846,1090,1984,598.0,1984.0,1.074756229685807,0.323943661971831,13.0,13.0,258,0.13976164680390032,0.02500127307534242,urban_core,108.95564082580873,312.75720226788104,262.6413292563596,47.72317877879433,401.5388933221877,392.9172085914168,high,direct_city_incident,direct_city_incident,False,block_group
060591101102,06,06059110110,2320,752,2354,2563.0,2563.0,1.1047413793103449,1.1047413793103449,34.0,34.0,481,0.20732758620689656,0.3246609498913877,urban_core,137.51573093462974,312.60578977706666,359.03740826108526,84.27775040789402,210.29319277916917,502.73325004393917,low,model_only,modeled_transfer,False,tract_or_larger
060730048003,06,06073004800,852,317,852,546.0,852.0,1.0,0.6408450704225352,21.0,21.0,29,0.03403755868544601,0.09025292397963944,urban_core,42.48633100030638,312.51676275141307,191.38522657865067,14.933879186405536,638.4176647534479,497.3284146526466,low,model_only,modeled_transfer,False,tract_or_larger
010890022002,01,01089002200,526,331,526,344.0,526.0,1.0,0.6539923954372624,6.0,6.0,110,0.20912547528517111,0.24887720430500357,urban,29.369724532454676,312.47258391974253,330.53182705432226,15.92295459109722,250.08993707130682,194.28437873882,low,model_only,modeled_transfer,False,tract_or_larger
517100066073,51,51710006607,718,308,718,575.0,718.0,1.0,0.8008356545961003,20.0,20.0,138,0.19220055710306408,0.18248848254365152,urban,36.09279696838479,312.4086153007371,448.60812460433675,29.499605429295375,126.70979231383541,129.48982392981105,low,model_only,modeled_transfer,False,tract_or_larger
320310022041,32,32031002204,1908,722,2063,1911.0,2063.0,1.0812368972746331,1.001572327044025,11.0,11.0,307,0.1609014675052411,0.19616190438804756,urban_core,103.28688787529254,312.35972756022755,406.30488896255576,76.76723602477281,221.41727801698616,327.8963917962539,low,model_only,modeled_transfer,False,tract_or_larger
400272013022,40,40027201302,663,457,663,390.0,663.0,1.0,0.5882352941176471,8.0,8.0,146,0.22021116138763197,0.12538783430940154,urban_core,33.80694341490609,312.3442286908772,412.7226408769658,25.060887699396115,145.34234689853426,55.97376203329339,low,model_only,modeled_transfer,False,tract_or_larger
482012541001,48,48201254100,1616,674,1616,952.0,1616.0,1.0,0.5891089108910891,21.0,21.0,27,0.01670792079207921,0.5098081318991075,urban,82.01082084826093,312.3325903848123,284.7218958992372,42.13925483194542,369.8344420635711,203.08152527866366,low,model_only,modeled_transfer,False,tract_or_larger
371819609031,37,37181960903,2566,884,2566,2862.0,2862.0,1.1153546375681995,1.1153546375681995,21.0,21.0,91,0.035463756819953236,3.99131484815967,suburban,140.8652130434817,312.2814710194352,296.8288666855812,77.80372524688092,158.9582227817861,159.91857788883596,low,model_only,modeled_transfer,False,tract_or_larger
080410013021,08,08041001302,1272,736,1272,788.0,1272.0,1.0,0.6194968553459119,17.0,17.0,279,0.21933962264150944,0.2686491097443687,urban,73.46819060884476,312.25364521679904,290.99914391003006,33.90029292360801,457.27479547291136,294.5674514010455,low,model_only,modeled_transfer,False,tract_or_larger
360470290003,36,36047029000,1543,687,1543,1408.0,1543.0,1.0,0.9125081011017498,26.0,26.0,184,0.11924821775761503,0.030272725846606303,urban_core,70.16618170978036,312.1879768652982,407.00809850646993,57.51665290686131,255.53362576701517,478.8449232170108,high,direct_city_incident,direct_city_incident,False,block_group
060750123024,06,06075012302,730,515,730,510.0,730.0,1.0,0.6986301369863014,33.0,33.0,0,0.0,0.008964519918201479,urban_core,39.2209778811812,312.14125769717435,316.9089345960298,21.187610069916612,487.582492239613,450.5213120797814,high,direct_city_incident,direct_city_incident,False,block_group
060374333042,06,06037433304,2373,717,2446,2314.0,2446.0,1.0307627475769068,0.9751369574378423,13.0,13.0,973,0.41002949852507375,0.21590909928926277,urban_core,126.96755303794856,312.04169272553406,255.61847264716624,57.262897094760184,704.9600593978772,827.865249501512,low,model_only,modeled_transfer,False,tract_or_larger
420293042014,42,42029304201,1465,800,1465,1062.0,1465.0,1.0,0.7249146757679181,27.0,27.0,193,0.13174061433447098,0.5122903826766989,urban,73.92305178823526,311.96008175190667,441.103799092148,59.183827904390995,98.31705210243614,149.0403612884984,low,model_only,modeled_transfer,False,tract_or_larger
120860003111,12,12086000311,2752,860,2752,856.0,2752.0,1.0,0.311046511627907,25.0,25.0,85,0.030886627906976744,0.202170040077906,urban_core,133.94642775677926,311.9143465540261,299.7052212186993,75.53832782048234,397.56420099910025,533.0410400820632,low,model_only,modeled_transfer,False,tract_or_larger
060855081013,06,06085508101,2037,820,2037,1132.0,2037.0,1.0,0.5557191948944527,40.0,40.0,402,0.19734904270986744,0.2955179589608232,urban_core,105.79191517934008,311.6846628216272,435.7444323328244,81.29194298166414,104.8157168031031,479.6614303537402,low,model_only,modeled_transfer,False,tract_or_larger
420454017001,42,42045401700,2722,1170,2722,1457.0,2722.0,1.0,0.535268185157972,21.0,21.0,22,0.008082292432035268,0.20632642981515464,urban_core,130.80609517305936,311.346659437801,383.49072172983017,95.60213916865291,237.70513437400356,169.17471501519103,low,model_only,modeled_transfer,False,tract_or_larger
490451309003,49,49045130900,4029,1245,4029,2396.0,4029.0,1.0,0.5946885083147183,49.0,49.0,785,0.19483742864234302,0.7333469959443173,urban,197.30166746261932,311.32161329580174,409.8059966689887,151.21685615454138,56.4017772666903,67.26003987798664,low,model_only,modeled_transfer,False,tract_or_larger
482015424013,48,48201542401,1797,504,1909,2125.0,2125.0,1.1825264329437952,1.1825264329437952,34.0,34.0,140,0.07790762381747357,0.19655070926175025,urban_core,102.38290677310295,311.3060816950375,334.0744961393971,65.01699373383813,347.8384680968601,501.7585486718531,low,model_only,modeled_transfer,False,tract_or_larger
220170234011,22,22017023401,991,357,991,796.0,991.0,1.0,0.8032290615539859,13.0,13.0,138,0.13925327951564076,0.19014874937012743,urban_core,50.062400658627,310.8311064157356,241.05393795124425,21.87824661007581,399.9234172775159,285.1865095622541,low,model_only,modeled_transfer,False,tract_or_larger
360610148011,36,36061014801,1487,623,1487,1366.0,1487.0,1.0,0.9186281102891728,23.0,23.0,10,0.006724949562878279,0.00967147297058441,urban_core,63.91207776703369,310.80642565816527,365.97485177736667,49.84101066661345,418.6325673436244,700.206804550103,high,direct_city_incident,direct_city_incident,False,block_group
210670039101,21,21067003910,3333,1127,3333,1865.0,3333.0,1.0,0.5595559555955596,42.0,42.0,200,0.060006000600060005,0.32051073778867656,urban_core,164.5529257429526,310.70237256709464,346.7436289433935,105.84453321180824,314.07093841717693,747.4470141227197,low,model_only,modeled_transfer,False,tract_or_larger
120860089092,12,12086008909,884,386,884,717.0,884.0,1.0,0.8110859728506787,14.0,14.0,149,0.16855203619909503,0.18760395004284403,urban,44.58233228349091,310.67229970939377,379.0831406382115,30.691022898032667,186.9138598919625,472.355154356214,low,model_only,modeled_transfer,False,tract_or_larger
271230424022,27,27123042402,704,237,704,688.0,704.0,1.0,0.9772727272727273,16.0,16.0,119,0.1690340909090909,0.35226879863938837,urban,36.536325483276656,310.66791363178413,417.26119255170084,26.90328313789129,155.06945670518635,224.4919822910823,low,model_only,modeled_transfer,False,tract_or_larger
421298004001,42,42129800400,1436,685,1436,1187.0,1436.0,1.0,0.8266016713091922,61.0,61.0,355,0.24721448467966572,0.5581330641707077,urban,71.35178349743191,310.45504428557734,472.19328818703195,62.10104063614342,62.55805430039389,67.48053245226151,low,model_only,modeled_transfer,False,tract_or_larger
060372395012,06,06037239501,655,219,655,353.0,655.0,1.0,0.5389312977099237,4.0,4.0,78,0.11908396946564885,0.058921119912013806,urban_core,30.490331498586013,310.4349480462271,179.19434222701824,10.74954845246885,391.9611023035806,1275.970323701962,low,model_only,modeled_transfer,False,tract_or_larger
483550054131,48,48355005413,2071,902,2071,1710.0,2071.0,1.0,0.8256880733944955,25.0,25.0,289,0.13954611298889424,0.3939137774651792,urban_core,107.23632482633651,310.3910948582894,378.7002060999054,71.82907414834445,242.70815845490958,216.96558435400294,low,model_only,modeled_transfer,False,tract_or_larger
481130149031,48,48113014903,3209,912,3553,2448.0,3553.0,1.1071985042069181,0.762854471798068,65.0,65.0,490,0.15269554378311,0.6937460419461153,urban_core,181.30173083808478,310.3573434503005,370.1344052308411,120.44236973458227,295.446067615935,318.7330946769376,low,model_only,modeled_transfer,False,tract_or_larger
360010132003,36,36001013200,1748,780,1748,850.0,1748.0,1.0,0.4862700228832952,21.0,21.0,90,0.05148741418764302,0.18673406187953503,urban_core,87.40484388525049,310.2674508307342,384.8078589482935,61.604152824357236,161.67391739864976,264.7740015525431,low,model_only,modeled_transfer,False,tract_or_larger
371190060161,37,37119006016,2096,612,2333,1010.0,2333.0,1.1130725190839694,0.4818702290076336,9.0,9.0,228,0.10877862595419847,1.0971096697428468,urban,113.50311899425736,310.17167384119637,319.97451805280747,68.36829676179308,398.04080666591557,244.1131952701667,low,model_only,modeled_transfer,False,tract_or_larger
517100066064,51,51710006606,463,227,463,355.0,463.0,1.0,0.7667386609071274,3.0,3.0,49,0.10583153347732181,0.13922689397983376,urban,22.727608802880628,310.15748384620855,438.63437128333476,18.599800202954423,125.2351306419235,123.30325838591892,low,model_only,modeled_transfer,False,tract_or_larger
390450327041,39,39045032704,2071,766,2175,1471.0,2175.0,1.0502172863351038,0.7102848865282472,20.0,20.0,325,0.15692901979719942,0.891220307571219,suburban,112.76789355945952,310.13152073082733,401.13774719331377,79.90563748486674,176.16616309678014,74.29840713432976,low,model_only,modeled_transfer,False,tract_or_larger
260992552003,26,26099255200,985,477,1016,569.0,1016.0,1.031472081218274,0.5776649746192893,9.0,9.0,115,0.116751269035533,0.18179851798624666,urban_core,51.560261455564316,310.0606468826022,409.502134245102,38.10434544242101,153.34188324160883,167.99127872073365,low,model_only,modeled_transfer,False,tract_or_larger
060855120241,06,06085512024,1552,536,1887,1337.0,1887.0,1.2158505154639174,0.8614690721649485,29.0,29.0,517,0.3331185567010309,0.2867128992341204,urban_core,97.61474296453913,310.00742236259015,347.3626358223523,60.03156010089568,369.749296908886,407.2538284641819,low,model_only,modeled_transfer,False,tract_or_larger
450030213001,45,45003021300,2345,671,2345,1309.0,2345.0,1.0,0.5582089552238806,17.0,17.0,285,0.12153518123667377,0.8276080464323059,urban,114.77985154109392,309.9623430663616,347.0786207002291,74.54102118425286,246.21997991234076,171.74347454194617,low,model_only,modeled_transfer,False,tract_or_larger
450450008001,45,45045000800,1292,471,1292,792.0,1292.0,1.0,0.6130030959752322,23.0,23.0,65,0.05030959752321981,0.34874407203359714,urban,66.52167646011169,309.9397247126502,289.6341522141952,34.27179980200897,216.020814483158,377.39570455942123,low,model_only,modeled_transfer,False,tract_or_larger
060470023032,06,06047002303,1023,262,1023,967.0,1023.0,1.0,0.9452590420332356,18.0,18.0,177,0.17302052785923755,0.6262588595435676,suburban,51.3226099799234,309.89213823913934,406.69632720854145,38.10399506924564,166.84401560013742,112.80527466433323,low,model_only,modeled_transfer,False,tract_or_larger
340057004082,34,34005700408,1015,700,1124,860.0,1124.0,1.1073891625615764,0.8472906403940886,40.0,40.0,287,0.2827586206896552,0.31306630206885394,urban_core,58.25442458563038,309.56840173155024,436.261786070699,44.909488894450675,115.86792737195508,56.8107286360758,low,model_only,modeled_transfer,False,tract_or_larger
420454081023,42,42045408102,485,237,577,407.0,577.0,1.1896907216494845,0.8391752577319588,6.0,6.0,353,0.7278350515463917,0.3215304335895195,urban,27.569036073423526,309.5502633049483,506.9355072631299,26.7887934009792,15.238497676131564,26.521774522255374,low,model_only,modeled_transfer,False,tract_or_larger
410470017011,41,41047001701,2967,829,2967,2515.0,2967.0,1.0,0.8476575665655545,25.0,25.0,146,0.04920795416245366,0.2175114232474218,urban_core,135.607982614122,309.4749662667508,280.37006533413074,76.1857622961609,409.3644252169597,605.5171811522216,low,model_only,modeled_transfer,False,tract_or_larger
060750306002,06,06075030600,673,287,673,525.0,673.0,1.0,0.7800891530460624,13.0,13.0,116,0.1723625557206538,0.06320685387239094,urban_core,38.718146303899516,309.37475519597933,289.17431281194814,17.823763239860668,442.7780337016251,1034.5208578865106,high,direct_city_incident,direct_city_incident,False,block_group
040134221062,04,04013422106,1164,445,1164,732.0,1164.0,1.0,0.6288659793814433,2.0,2.0,136,0.11683848797250859,0.12272488772158881,urban_core,56.08959450920575,309.35072810854297,260.39718971584546,27.759644583590863,421.310597240361,605.2001536585936,high,direct_city_incident,direct_city_incident,False,block_group
060650407021,06,06065040702,1387,512,1387,1516.0,1516.0,1.0930064888248017,1.0930064888248017,34.0,34.0,128,0.09228550829127613,0.687425163507797,urban,80.17412088595398,309.3360210228116,418.10298457978075,58.05065137207439,224.64256522965428,219.70109665792745,low,model_only,modeled_transfer,False,tract_or_larger
250277314005,25,25027731400,750,248,750,893.0,893.0,1.1906666666666668,1.1906666666666668,28.0,28.0,79,0.10533333333333333,0.07893974463071957,urban_core,44.131202145502265,309.3124957881768,372.9261904151156,30.49993907287898,233.08756197273692,310.8436718958081,low,model_only,modeled_transfer,False,tract_or_larger
370710323013,37,37071032301,1784,825,1784,1116.0,1784.0,1.0,0.625560538116592,29.0,29.0,175,0.09809417040358745,0.5101548516375236,urban,88.74982588247748,309.2856926389194,454.1072679566614,74.19556238788512,50.10466728820786,134.29971777048146,low,model_only,modeled_transfer,False,tract_or_larger
