priority_rank,review_lane,state_abbr,state_fips,ori9,agency_name,agency_type_name,official_is_nibrs,official_effective_nibrs_2024,official_nibrs_start_date,repo_has_srs_2024,repo_has_nibrs_2024,repo_preferred_source_any_offense_2024,repo_reporting_regime_mix_2024,repo_preferred_support_count_2024,official_repo_presence_flag,official_repo_transition_flag,mismatch_reason,state_priority_score_abs
58,source_policy_disagreement,GA,13.0,GA0310200,Forest Park Police Department,City,True,True,2019-10-01,True,True,srs_return_a_annual,full_monthly,661.0,aligned,mixed_source_2024,aligned,0.0
59,source_policy_disagreement,GA,13.0,GA1370000,Tift County Sheriff's Office,County,True,True,2018-08-01,True,True,srs_return_a_annual,full_monthly,655.0,aligned,mixed_source_2024,aligned,0.0
60,source_policy_disagreement,GA,13.0,GA0050100,Milledgeville Police Department,City,True,True,2019-02-01,True,True,srs_return_a_annual,full_monthly|structurally_missing_or_unreliable,634.0,aligned,mixed_source_2024,aligned,0.0
61,source_policy_disagreement,GA,13.0,GA0440600,Doraville Police Department,City,True,True,2019-09-01,True,True,srs_return_a_annual,full_monthly|structurally_missing_or_unreliable,627.0,aligned,mixed_source_2024,aligned,0.0
62,source_policy_disagreement,GA,13.0,GA0220000,Carroll County Sheriff's Office,County,True,True,2018-01-01,True,True,srs_return_a_annual,full_monthly|structurally_missing_or_unreliable,582.0,aligned,mixed_source_2024,aligned,0.0
63,source_policy_disagreement,GA,13.0,GA0440100,Decatur Police Department,City,True,True,2019-10-01,True,True,srs_return_a_annual,full_monthly|structurally_missing_or_unreliable,579.0,aligned,mixed_source_2024,aligned,0.0
64,source_policy_disagreement,GA,13.0,GA1220100,Conyers Police Department,City,True,True,2020-02-01,True,True,srs_return_a_annual,full_monthly|structurally_missing_or_unreliable,578.0,aligned,mixed_source_2024,aligned,0.0
65,source_policy_disagreement,GA,13.0,GA1380200,Vidalia Police Department,City,True,True,2019-10-01,True,True,srs_return_a_annual,full_monthly,578.0,aligned,mixed_source_2024,aligned,0.0
66,source_policy_disagreement,GA,13.0,GA0250400,Pooler Police Department,City,True,True,2018-06-01,True,True,srs_return_a_annual,full_monthly|structurally_missing_or_unreliable,556.0,aligned,mixed_source_2024,aligned,0.0
67,source_policy_disagreement,GA,13.0,GA0560100,Fayetteville Police Department,City,True,True,2019-08-01,True,True,srs_return_a_annual,full_monthly,552.0,aligned,mixed_source_2024,aligned,0.0
68,source_policy_disagreement,GA,13.0,GA1260000,Spalding County Sheriff's Office,County,True,True,2019-11-01,True,True,srs_return_a_annual,full_monthly|structurally_missing_or_unreliable,549.0,aligned,mixed_source_2024,aligned,0.0
69,source_policy_disagreement,GA,13.0,GA0050000,Baldwin County Sheriff's Office,County,True,True,2019-10-01,True,True,srs_return_a_annual,full_monthly,545.0,aligned,mixed_source_2024,aligned,0.0
70,source_policy_disagreement,GA,13.0,GA0220100,Carrollton Police Department,City,True,True,2020-11-01,True,True,srs_return_a_annual,full_monthly|structurally_missing_or_unreliable,542.0,aligned,mixed_source_2024,aligned,0.0
71,source_policy_disagreement,GA,13.0,GA1080000,Oconee County Sheriff's Office,County,True,True,2019-01-01,True,True,srs_return_a_annual,full_monthly|structurally_missing_or_unreliable,539.0,aligned,mixed_source_2024,aligned,0.0
72,source_policy_disagreement,GA,13.0,GA0430100,Bainbridge Police Department,City,True,True,2019-09-01,True,True,srs_return_a_annual,full_monthly,523.0,aligned,mixed_source_2024,aligned,0.0
73,source_policy_disagreement,GA,13.0,GA0400100,Cordele Police Department,City,True,True,2019-10-01,True,True,srs_return_a_annual,full_monthly,520.0,aligned,mixed_source_2024,aligned,0.0
74,source_policy_disagreement,GA,13.0,GA0670800,Snellville Police Department,City,True,True,2019-10-01,True,True,srs_return_a_annual,full_monthly,510.0,aligned,mixed_source_2024,aligned,0.0
75,source_policy_disagreement,GA,13.0,GA0670700,Norcross Police Department,City,True,True,2018-12-01,True,True,srs_return_a_annual,full_monthly,506.0,aligned,mixed_source_2024,aligned,0.0
76,source_policy_disagreement,GA,13.0,GA0080100,Cartersville Police Department,City,True,True,2018-12-01,True,True,srs_return_a_annual,full_monthly,498.0,aligned,mixed_source_2024,aligned,0.0
77,source_policy_disagreement,GA,13.0,GA0760100,Perry Police Department,City,True,True,2020-02-01,True,True,srs_return_a_annual,full_monthly|structurally_missing_or_unreliable,477.0,aligned,mixed_source_2024,aligned,0.0
78,source_policy_disagreement,GA,13.0,GA0605800,Johns Creek Police Department,City,True,True,2019-08-01,True,True,srs_return_a_annual,full_monthly|structurally_missing_or_unreliable,464.0,aligned,mixed_source_2024,aligned,0.0
79,source_policy_disagreement,GA,13.0,GA1410000,Troup County Sheriff's Office,County,True,True,2019-10-01,True,True,srs_return_a_annual,full_monthly,454.0,aligned,mixed_source_2024,aligned,0.0
80,source_policy_disagreement,GA,13.0,GA0310300,Morrow Police Department,City,True,True,2019-10-01,True,True,srs_return_a_annual,full_monthly|structurally_missing_or_unreliable,444.0,aligned,mixed_source_2024,aligned,0.0
81,source_policy_disagreement,GA,13.0,GA0670500,Duluth Police Department,City,True,True,2019-09-01,True,True,srs_return_a_annual,full_monthly|structurally_missing_or_unreliable,443.0,aligned,mixed_source_2024,aligned,0.0
82,source_policy_disagreement,GA,13.0,GA0280500,Woodstock Police Department,City,True,True,2019-09-01,True,True,srs_return_a_annual,full_monthly,428.0,aligned,mixed_source_2024,aligned,0.0
83,source_policy_disagreement,GA,13.0,GA0250200,Garden City Police Department,City,True,True,2018-11-01,True,True,srs_return_a_annual,full_monthly|structurally_missing_or_unreliable,417.0,aligned,mixed_source_2024,aligned,0.0
84,source_policy_disagreement,GA,13.0,GA0670600,Lilburn Police Department,City,True,True,2018-12-01,True,True,srs_return_a_annual,full_monthly,403.0,aligned,mixed_source_2024,aligned,0.0
85,source_policy_disagreement,GA,13.0,GA0870000,Laurens County Sheriff's Office,County,True,True,2018-01-01,True,True,srs_return_a_annual,full_monthly,395.0,aligned,mixed_source_2024,aligned,0.0
86,source_policy_disagreement,GA,13.0,GA0780000,Jackson County Sheriff's Office,County,True,True,2019-10-01,True,True,srs_return_a_annual,true_partial,392.0,aligned,mixed_source_2024,aligned,0.0
87,source_policy_disagreement,GA,13.0,GA0330600,Kennesaw Police Department,City,True,True,2019-10-01,True,True,srs_return_a_annual,full_monthly,386.0,aligned,mixed_source_2024,aligned,0.0
88,source_policy_disagreement,GA,13.0,GA0750400,Locust Grove Police Department,City,True,True,2021-01-01,True,True,srs_return_a_annual,full_monthly|structurally_missing_or_unreliable,386.0,aligned,mixed_source_2024,aligned,0.0
89,source_policy_disagreement,GA,13.0,GA0601000,Georgia Institute of Technology,University or College,True,True,2019-10-01,True,True,srs_return_a_annual,full_monthly|structurally_missing_or_unreliable,360.0,aligned,mixed_source_2024,aligned,0.0
90,source_policy_disagreement,GA,13.0,GA0340000,Coffee County Sheriff's Office,County,True,True,2019-10-01,True,True,srs_return_a_annual,full_monthly|structurally_missing_or_unreliable,354.0,aligned,mixed_source_2024,aligned,0.0
91,source_policy_disagreement,GA,13.0,GA0280100,Canton Police Department,City,True,True,2020-11-01,True,True,srs_return_a_annual,full_monthly|structurally_missing_or_unreliable,354.0,aligned,mixed_source_2024,aligned,0.0
92,source_policy_disagreement,GA,13.0,GA0470200,Dougherty County Police Department,County,True,True,2019-09-01,True,True,srs_return_a_annual,full_monthly,345.0,aligned,mixed_source_2024,aligned,0.0
93,source_policy_disagreement,GA,13.0,GA1360000,Thomas County Sheriff's Office,County,True,True,2019-10-01,True,True,srs_return_a_annual,full_monthly,342.0,aligned,mixed_source_2024,aligned,0.0
94,source_policy_disagreement,GA,13.0,GA0560200,Peachtree City Police Department,City,True,True,2019-11-01,True,True,srs_return_a_annual,full_monthly|structurally_missing_or_unreliable,342.0,aligned,mixed_source_2024,aligned,0.0
95,source_policy_disagreement,GA,13.0,GA0710000,Haralson County Sheriff's Office,County,True,True,2019-10-01,True,True,srs_return_a_annual,full_monthly|structurally_missing_or_unreliable,335.0,aligned,mixed_source_2024,aligned,0.0
