ori9,fill_rows,n_rows,fill_mass,total_estimated,reported_2024,fill_sources,last_usable_year_before_2024,usable_rows_2024,agency_name_std,agency_type_norm,population_latest_nibrs,county_fips,place_fips,county_fips_source,years_since_last_real_report,on_fbi_2024_roster
PA0045400,7,7,13.883857787463985,13.883857787463985,0.0,hist_median,2018.0,0.0,DARLINGTON TOWNSHIP,local_police,2073.0,7.0,18200.0,srs_agency_header,6.0,True
WI0050700,7,7,13.878643239045113,13.878643239045113,0.0,hist_median,2019.0,0.0,UNIV OF WI GREEN BAY,special_jurisdiction,0.0,9.0,31000.0,srs_agency_header,5.0,True
MO0630100,7,7,13.85178446629176,13.85178446629176,0.0,hist_median,2018.0,0.0,BELLE,local_police,1490.0,125.0,4150.0,srs_agency_header,6.0,False
IN351SP00,7,7,13.836289015112392,13.836289015112392,0.0,hist_median,2019.0,0.0,SP MARTIN COUNTY,state_law_enforcement,0.0,101.0,99101.0,srs_agency_header,5.0,False
MO0250500,7,7,13.769773169551735,13.769773169551735,0.0,hist_median,2018.0,0.0,PLATTSBURG,local_police,2262.0,49.0,58250.0,srs_agency_header,6.0,True
IN357SP00,7,7,13.73131303701473,13.73131303701473,0.0,hist_median,2019.0,0.0,SP NOBLE COUNTY,state_law_enforcement,0.0,113.0,99113.0,srs_agency_header,5.0,False
IN314SP00,7,7,13.635216423090617,13.635216423090617,0.0,hist_median,2019.0,0.0,SP DAVIESS COUNTY,state_law_enforcement,0.0,27.0,99027.0,srs_agency_header,5.0,False
NM0230200,7,7,13.526025171865012,13.526025171865012,0.0,hist_median,2019.0,0.0,CUBA,local_police,760.0,43.0,19150.0,srs_agency_header,5.0,True
IL0300200,7,7,13.508230778002163,13.508230778002163,0.0,hist_median,2020.0,0.0,SHAWNEETOWN,local_police,1116.0,59.0,69082.0,srs_agency_header,4.0,True
IN363SP00,7,7,13.44794561330642,13.44794561330642,0.0,hist_median,2019.0,0.0,SP PIKE COUNTY,state_law_enforcement,0.0,125.0,99125.0,srs_agency_header,5.0,False
PA0020K00,5,7,13.383971016777805,32.050637683444464,14.0,hist_median,2020.0,0.0,WHITE OAK,local_police,7646.0,3.0,84704.0,srs_agency_header,4.0,True
NJ0081300,7,7,13.375681156442768,13.375681156442768,0.0,hist_median,2019.0,0.0,NEWFIELD,local_police,1844.0,15.0,51390.0,srs_agency_header,5.0,True
PA0481800,5,7,13.244120899056025,25.24412089905603,2.0,hist_median,2020.0,0.0,MOORE TOWNSHIP,local_police,9494.0,95.0,50824.0,srs_agency_header,4.0,True
IA0570400,7,7,13.210574971727103,13.210574971727103,0.0,hist_median,2019.0,0.0,LISBON,local_police,2260.0,113.0,45615.0,srs_agency_header,5.0,False
NM0290400,7,7,13.192908002087917,13.192908002087917,0.0,hist_median,2021.0,0.0,TAOS PUEBLO,local_police,0.0,55.0,76200.0,srs_agency_header,3.0,True
MI5828700,7,7,13.192415021056153,13.192415021056153,0.0,hist_median,2019.0,0.0,CARLETON,local_police,2364.0,115.0,13220.0,srs_agency_header,5.0,True
NY159WN00,7,7,13.17959568810225,13.17959568810225,0.0,hist_median,2019.0,0.0,NYC DEP P EASTVIEW PCT,special_jurisdiction,0.0,119.0,99119.0,srs_agency_header,5.0,True
IN376SP00,7,7,13.165855469082883,13.165855469082883,0.0,hist_median,2019.0,0.0,SP STEUBEN COUNTY,state_law_enforcement,0.0,151.0,99151.0,srs_agency_header,5.0,False
FL0200400,7,7,13.153885515706552,13.153885515706552,0.0,hist_median,2020.0,0.0,GRETNA,local_police,1509.0,39.0,27650.0,srs_agency_header,4.0,True
OH0080300,7,7,13.024705606525362,13.024705606525362,0.0,hist_median,2019.0,0.0,RIPLEY,local_police,1695.0,15.0,67272.0,srs_agency_header,5.0,True
PA0363100,7,7,13.000406065143045,13.000406065143045,0.0,hist_median,2018.0,0.0,TERRE HILL,local_police,1453.0,71.0,76400.0,srs_agency_header,6.0,False
IL0110600,7,7,12.942127633933806,12.942127633933806,0.0,hist_median,2020.0,0.0,EDINBURG,local_police,1112.0,21.0,22645.0,srs_agency_header,4.0,True
IL0169E00,7,7,12.831729338443434,12.831729338443434,0.0,hist_median,2020.0,0.0,TRITON COLLEGE,special_jurisdiction,0.0,31.0,64343.0,srs_agency_header,4.0,True
GA0530600,7,7,12.805206954923452,12.805206954923452,0.0,hist_median,2018.0,0.0,OAK PARK,local_police,510.0,107.0,,fbi_cde_agency_roster,6.0,True
OR0241000,7,7,12.77643683061175,12.77643683061175,0.0,hist_median,2020.0,0.0,TURNER,local_police,2448.0,47.0,75150.0,srs_agency_header,4.0,True
NY0032200,7,7,12.70660498205883,12.70660498205883,0.0,hist_median,2019.0,0.0,DEPOSIT VILLAGE,local_police,1542.0,7.0,20346.0,srs_agency_header,5.0,False
MI5838100,7,7,12.657783647664044,12.657783647664044,0.0,hist_median,2018.0,0.0,ERIE TOWNSHIP,local_police,4342.0,115.0,26320.0,srs_agency_header,6.0,True
AR0041200,7,7,12.651892416931354,12.651892416931354,0.0,hist_median,2020.0,0.0,BETHEL HEIGHTS,local_police,3103.0,7.0,5740.0,srs_agency_header,4.0,False
PA0361500,7,7,12.626673292970926,12.626673292970926,0.0,hist_median,2019.0,0.0,ADAMSTOWN,local_police,2015.0,71.0,364.0,srs_agency_header,5.0,False
MN0390000,7,7,12.534936949793444,12.534936949793444,0.0,hist_median,2019.0,0.0,LAKE OF THE WOODS,sheriff,3937.0,77.0,99077.0,srs_agency_header,5.0,True
IN350SP00,7,7,12.500848059089876,12.500848059089876,0.0,hist_median,2019.0,0.0,SP MARSHALL COUNTY,state_law_enforcement,0.0,99.0,99099.0,srs_agency_header,5.0,False
MA012BA00,7,7,12.43845434627736,12.43845434627736,0.0,hist_median,2019.0,0.0,MBTA PLYMOUTH COUNTY,special_jurisdiction,0.0,23.0,99023.0,srs_agency_header,5.0,True
NC0310500,7,7,12.40543110077162,12.40543110077162,0.0,hist_median,2018.0,0.0,ROSE HILL,local_police,1636.0,61.0,57860.0,srs_agency_header,6.0,True
GA0100300,7,7,12.251720053343808,12.251720053343808,0.0,hist_median,2019.0,0.0,RAY CITY,local_police,1105.0,19.0,63728.0,srs_agency_header,5.0,True
MN0430500,7,7,12.231510925789904,12.231510925789904,0.0,hist_median,2019.0,0.0,SILVER LAKE,local_police,863.0,85.0,60376.0,srs_agency_header,5.0,False
PA0365000,7,7,12.23042237597727,12.23042237597727,0.0,hist_median,2018.0,0.0,ELIZABETHTOWN COLLEGE,special_jurisdiction,0.0,71.0,23016.0,srs_agency_header,6.0,False
PA0250800,7,7,12.22388829025213,12.22388829025213,0.0,hist_median,2018.0,0.0,ALBION,local_police,1507.0,49.0,628.0,srs_agency_header,6.0,False
IL0580700,7,7,12.192479614266256,12.192479614266256,0.0,hist_median,2019.0,0.0,DECATUR PARK DISTRICT,special_jurisdiction,0.0,115.0,18823.0,srs_agency_header,5.0,True
IL0750100,7,7,12.162413877442953,12.162413877442953,0.0,hist_median,2019.0,0.0,BARRY,local_police,1288.0,149.0,3948.0,srs_agency_header,5.0,False
NJ0170300,7,7,12.10599286714873,12.10599286714873,0.0,hist_median,2019.0,0.0,ELSINBORO TOWNSHIP,local_police,1008.0,33.0,21330.0,srs_agency_header,5.0,True
CA0040600,6,7,11.991555860356424,23.99155586035642,1.0,hist_median,2019.0,0.0,UPRR BUTTE COUNTY,special_jurisdiction,0.0,7.0,13014.0,srs_agency_header,5.0,True
TX0660200,7,7,11.939770666455884,11.939770666455884,0.0,hist_median,2019.0,0.0,SAN DIEGO,local_police,4261.0,131.0,65180.0,srs_agency_header,5.0,True
IN340SP00,7,7,11.850431351303286,11.850431351303286,0.0,hist_median,2019.0,0.0,SP JENNINGS COUNTY,state_law_enforcement,0.0,79.0,99079.0,srs_agency_header,5.0,False
PA0654900,6,7,11.846545099821912,18.513211766488578,5.0,hist_median,2020.0,0.0,WASHINGTON TOWNSHIP,local_police,7103.0,129.0,81336.0,srs_agency_header,4.0,True
NC0450200,7,7,11.755604961160342,11.755604961160342,0.0,hist_median,2018.0,0.0,LAUREL PARK,local_police,2358.0,89.0,37160.0,srs_agency_header,6.0,True
MI0966800,7,7,11.731097846266367,11.731097846266367,0.0,hist_median,2020.0,0.0,PINCONNING,local_police,1241.0,17.0,64160.0,srs_agency_header,4.0,True
NC0090100,7,7,11.7068734160139,11.7068734160139,0.0,hist_median,2021.0,0.0,BLADENBORO,local_police,1684.0,17.0,6240.0,srs_agency_header,3.0,True
AR0540300,7,7,11.661950421910715,11.661950421910715,0.0,hist_median,2019.0,0.0,MARVELL,local_police,960.0,107.0,44420.0,srs_agency_header,5.0,False
PA0026600,7,7,11.65675695774851,11.65675695774851,0.0,hist_median,2019.0,0.0,ELIZABETH,local_police,1980.0,3.0,22992.0,srs_agency_header,5.0,False
PA0651700,7,7,11.654579080316156,11.654579080316156,0.0,hist_median,2018.0,0.0,LIGONIER TOWNSHIP,local_police,6400.0,129.0,43240.0,srs_agency_header,6.0,False
PA0029900,7,7,11.633230900117988,11.633230900117988,0.0,hist_median,2018.0,0.0,WHITAKER BOROUGH,local_police,1239.0,3.0,84440.0,srs_agency_header,6.0,True
NV0050000,7,7,11.504780838932868,11.504780838932868,0.0,hist_median,2019.0,0.0,ESMERALDA,sheriff,888.0,9.0,99009.0,srs_agency_header,5.0,True
FL0502100,7,7,11.39171372214638,11.39171372214638,0.0,hist_median,2020.0,0.0,MANALAPAN,local_police,476.0,99.0,42700.0,srs_agency_header,4.0,True
ND0450200,7,7,11.38934371203426,11.38934371203426,0.0,hist_median,2021.0,0.0,BELFIELD,local_police,1063.0,89.0,5820.0,srs_agency_header,3.0,False
WY0120200,7,7,11.337685084837853,11.337685084837853,0.0,hist_median,2019.0,0.0,KEMMERER,local_police,2775.0,23.0,42005.0,srs_agency_header,5.0,True
GA0910100,7,7,11.306240152783168,11.306240152783168,0.0,hist_median,2018.0,0.0,LUDOWICI,local_police,2425.0,183.0,47784.0,srs_agency_header,6.0,True
PA0030300,7,7,11.25447361611496,11.25447361611496,0.0,hist_median,2018.0,0.0,FREEPORT,local_police,1716.0,5.0,27784.0,srs_agency_header,6.0,False
IL0900500,7,7,11.202943857708096,11.202943857708096,0.0,hist_median,2020.0,0.0,MARQUETTE HEIGHTS,local_police,2669.0,179.0,47111.0,srs_agency_header,4.0,True
IN343SP00,7,7,11.17431798480258,11.17431798480258,0.0,hist_median,2019.0,0.0,SP KOSCIUSKO COUNTY,state_law_enforcement,0.0,85.0,99085.0,srs_agency_header,5.0,False
OR0200700,7,7,11.163679288521989,11.163679288521989,0.0,hist_median,2020.0,0.0,COBURG,local_police,1314.0,39.0,14400.0,srs_agency_header,4.0,True
PA0172200,7,7,11.106150433660169,11.106150433660169,0.0,hist_median,2019.0,0.0,BIGLER TOWNSHIP REGIONAL,local_police,1229.0,,,,5.0,False
FL0329000,7,7,11.10063694267516,11.10063694267516,3.0,hist_median|partial_uplift_sanity_cap_hist_median,2019.0,0.0,HP JACKSON COUNTY,state_law_enforcement,0.0,63.0,43175.0,srs_agency_header,5.0,True
PA0025000,7,7,11.045562927265,11.045562927265,0.0,hist_median,2018.0,0.0,BEN AVON,local_police,1868.0,3.0,5504.0,srs_agency_header,6.0,False
IN309SP00,7,7,10.985507146623656,10.985507146623656,0.0,hist_median,2019.0,0.0,SP CASS COUNTY,state_law_enforcement,0.0,17.0,99017.0,srs_agency_header,5.0,False
VA082099E,7,7,10.980343186974054,10.980343186974054,0.0,hist_median,2020.0,0.0,BRIDGEWATER,special_jurisdiction,0.0,,,,4.0,False
GA1200500,7,7,10.961226900644077,10.961226900644077,0.0,hist_median,2018.0,0.0,ANDREW COLLEGE,special_jurisdiction,,243.0,21072.0,srs_agency_header,6.0,False
MO0391800,7,7,10.955749271383397,10.955749271383397,0.0,hist_median,2019.0,0.0,SPRNGFLD GREENE CO PK RG,unknown,0.0,77.0,,fbi_cde_agency_roster,5.0,True
PA0400500,6,7,10.926263630672942,64.92626363067293,18.0,hist_median,2018.0,0.0,FREELAND,local_police,3821.0,79.0,27744.0,srs_agency_header,6.0,True
LA0090300,7,7,10.879065070261682,10.879065070261682,0.0,hist_median,2019.0,0.0,OIL CITY,local_police,995.0,17.0,57590.0,srs_agency_header,5.0,False
IN0780100,7,7,10.863168723755392,10.863168723755392,0.0,hist_median,2021.0,0.0,VEVAY,local_police,1796.0,155.0,79010.0,srs_agency_header,3.0,True
VA0330300,7,7,10.860839478543108,10.860839478543108,0.0,hist_median,2019.0,0.0,FERRUM COLLEGE,special_jurisdiction,0.0,67.0,27712.0,srs_agency_header,5.0,False
LA0320700,7,7,10.811560683708038,10.811560683708038,0.0,hist_median,2019.0,0.0,FRENCH SETTLEMENT,local_police,1239.0,63.0,27435.0,srs_agency_header,5.0,False
FL0419000,6,7,10.800849256900213,34.800849256900214,2.0,hist_median,2019.0,0.0,HP MANATEE COUNTY,state_law_enforcement,0.0,81.0,99081.0,srs_agency_header,5.0,True
MI5854100,7,7,10.746953759384832,10.746953759384832,0.0,hist_median,2018.0,0.0,LUNA PIER,local_police,1408.0,115.0,49700.0,srs_agency_header,6.0,True
KS0500300,7,7,10.667247667998431,10.667247667998431,0.0,hist_median,2019.0,0.0,CHETOPA,local_police,1040.0,99.0,12950.0,srs_agency_header,5.0,True
IN0920300,7,7,10.646036829055644,10.646036829055644,0.0,hist_median,2018.0,0.0,SOUTH WHITLEY,local_police,1817.0,183.0,71612.0,srs_agency_header,6.0,True
UT0280000,7,7,10.562109240115198,10.562109240115198,0.0,hist_median,2020.0,0.0,WAYNE,sheriff,2788.0,55.0,99055.0,srs_agency_header,4.0,True
TN0192000,7,7,10.480480268458797,10.480480268458797,0.0,hist_median,2021.0,0.0,SPR LONG HUNTER,special_jurisdiction,0.0,37.0,33520.0,srs_agency_header,3.0,False
FL0600200,7,7,10.46275432104938,10.46275432104938,0.0,hist_median,2020.0,0.0,CENTER HILL,local_police,1600.0,119.0,11325.0,srs_agency_header,4.0,True
IN362SP00,7,7,10.45972066065126,10.45972066065126,0.0,hist_median,2019.0,0.0,SP PERRY COUNTY,state_law_enforcement,0.0,123.0,99123.0,srs_agency_header,5.0,False
WI0630300,7,7,10.41245677874841,10.41245677874841,0.0,hist_median,2019.0,0.0,HILLSBORO,local_police,1463.0,123.0,34825.0,srs_agency_header,5.0,True
MI2249200,7,7,10.324298685380043,10.324298685380043,0.0,hist_median,2019.0,0.0,IRON MOUNTAIN,local_police,7524.0,43.0,40960.0,srs_agency_header,5.0,True
PA0520600,7,7,10.303772562533734,10.303772562533734,0.0,hist_median,2018.0,0.0,SHOHOLA TOWNSHIP,local_police,2637.0,103.0,70496.0,srs_agency_header,6.0,False
IL0050000,7,7,10.285868414320472,10.285868414320472,0.0,hist_median,2019.0,0.0,BROWN,sheriff,4750.0,9.0,99009.0,srs_agency_header,5.0,True
IL0910200,7,7,10.28336210908728,10.28336210908728,0.0,hist_median,2018.0,0.0,COBDEN,local_police,1094.0,181.0,15300.0,srs_agency_header,6.0,True
TX0313800,7,7,10.250498755770046,10.250498755770046,0.0,hist_median,2019.0,0.0,LOS INDIOS,local_police,1067.0,61.0,,fbi_cde_agency_roster,5.0,True
PA0635900,7,7,10.230583198763508,10.230583198763508,0.0,hist_median,2019.0,0.0,SW RGNL WASHINGTON CTY,local_police,132.0,125.0,,leaic_crosswalk,5.0,False
SD0300000,7,7,10.158446198722586,10.158446198722586,0.0,hist_median,2021.0,0.0,HANSON,sheriff,3573.0,61.0,99061.0,srs_agency_header,3.0,True
IN334SP00,7,7,10.155116397334645,10.155116397334645,0.0,hist_median,2019.0,0.0,SP HOWARD COUNTY,state_law_enforcement,0.0,67.0,99067.0,srs_agency_header,5.0,False
WY0020300,7,7,10.146884009173256,10.146884009173256,0.0,hist_median,2019.0,0.0,GREYBULL,local_police,1864.0,3.0,33885.0,srs_agency_header,5.0,True
LA0460100,7,7,10.107882692966497,10.107882692966497,0.0,hist_median,2021.0,0.0,GREENSBURG,local_police,659.0,91.0,31565.0,srs_agency_header,3.0,True
IL0690300,7,7,10.106317364588882,10.106317364588882,0.0,hist_median,2019.0,0.0,WAVERLY,local_police,1220.0,137.0,79358.0,srs_agency_header,5.0,True
IN303SP00,7,7,10.08617781994699,10.08617781994699,0.0,hist_median,2019.0,0.0,SP BARTHOLOMEW COUNTY,state_law_enforcement,0.0,5.0,99005.0,srs_agency_header,5.0,False
GA1590200,7,7,10.059591433708114,10.059591433708114,0.0,hist_median,2021.0,0.0,POULAN,local_police,861.0,321.0,62496.0,srs_agency_header,3.0,True
NM0300200,7,7,9.998997558349954,9.998997558349954,0.0,hist_median,2019.0,0.0,ESTANCIA,local_police,1586.0,57.0,25380.0,srs_agency_header,5.0,True
FL0051500,7,7,9.924272404397398,9.924272404397398,0.0,hist_median,2020.0,0.0,MELBOURNE VILLAGE,local_police,703.0,9.0,44075.0,srs_agency_header,4.0,True
MS0140300,7,7,9.924183793546137,9.924183793546137,0.0,hist_median,2019.0,0.0,COAHOMA COMMUNITY COLLEG,special_jurisdiction,0.0,27.0,13820.0,srs_agency_header,5.0,True
MO0490400,7,7,9.906987817866655,9.906987817866655,0.0,hist_median,2019.0,0.0,JASPER,local_police,976.0,97.0,36512.0,srs_agency_header,5.0,True
IL1000500,7,7,9.900180129904792,9.900180129904792,0.0,hist_median,2020.0,0.0,CAMBRIA,local_police,1988.0,199.0,10630.0,srs_agency_header,4.0,True
WV0070000,7,7,9.871946195487656,9.871946195487656,0.0,hist_median,2020.0,0.0,CALHOUN,sheriff,6711.0,13.0,99013.0,srs_agency_header,4.0,True
NJ0150100,7,7,9.843590324158264,9.843590324158264,0.0,hist_median,2019.0,0.0,BARNEGAT LIGHT,local_police,671.0,29.0,3130.0,srs_agency_header,5.0,True
TX2211100,5,7,9.794231738138798,30.7942317381388,14.0,hist_median,2019.0,0.0,ABILENE CHRISTIAN UNIV,special_jurisdiction,,441.0,1000.0,srs_agency_header,5.0,False
GA0290400,7,7,9.75676814083998,9.75676814083998,0.0,hist_median,2018.0,0.0,WINTERVILLE,local_police,1249.0,59.0,83728.0,srs_agency_header,6.0,True
IL0390400,7,7,9.728480254943218,9.728480254943218,0.0,hist_median,2020.0,0.0,DE SOTO,local_police,1534.0,77.0,19616.0,srs_agency_header,4.0,True
FL0481100,7,7,9.728079454755544,9.728079454755544,0.0,hist_median,2019.0,0.0,DLE ORANGE CO ORLANDO,state_law_enforcement,0.0,95.0,53000.0,srs_agency_header,5.0,True
IL0640100,7,7,9.66276311508569,9.66276311508569,0.0,hist_median,2018.0,0.0,BROOKPORT,local_police,904.0,127.0,8706.0,srs_agency_header,6.0,True
TX1320000,7,7,9.521860276593303,9.521860276593303,0.0,hist_median,2019.0,0.0,KENT,sheriff,776.0,263.0,99263.0,srs_agency_header,5.0,True
MA0147500,7,7,9.506446606231686,9.506446606231686,0.0,hist_median,2019.0,0.0,BECKER COLLEGE,unknown,,,,,5.0,False
IN389SP00,7,7,9.503264952534003,9.503264952534003,0.0,hist_median,2019.0,0.0,SP WAYNE COUNTY,state_law_enforcement,0.0,177.0,99177.0,srs_agency_header,5.0,False
PA0111300,7,7,9.500362847476062,9.500362847476062,8.0,hist_median|partial_uplift_sanity_cap_hist_median,2019.0,0.0,PATTON,local_police,1695.0,21.0,58432.0,srs_agency_header,5.0,True
LA0300100,7,7,9.417654246254592,9.417654246254592,0.0,hist_median,2019.0,0.0,JENA,local_police,4145.0,59.0,38285.0,srs_agency_header,5.0,True
SC0370700,7,7,9.417245587860634,9.417245587860634,0.0,hist_median,2021.0,0.0,GREENVILLE HOSPITAL OCO,unknown,0.0,,,,3.0,False
CA0229900,7,7,9.376163289676636,9.376163289676636,0.0,hist_median,2019.0,0.0,HP MARIPOSA COUNTY,state_law_enforcement,0.0,43.0,45932.0,srs_agency_header,5.0,False
NJ0135600,7,7,9.308199086318826,9.308199086318826,0.0,hist_median,2019.0,0.0,BROOKDALE COMMUNITY COLL,special_jurisdiction,0.0,25.0,40320.0,srs_agency_header,5.0,True
TX0540300,7,7,9.273459633431395,9.273459633431395,0.0,hist_median,2020.0,0.0,RALLS,local_police,1852.0,107.0,60356.0,srs_agency_header,4.0,False
IN354SP00,7,7,9.245992386211812,9.245992386211812,0.0,hist_median,2019.0,0.0,SP MONTGOMERY COUNTY,state_law_enforcement,0.0,107.0,99107.0,srs_agency_header,5.0,False
NY228US00,7,7,9.225716981671576,9.225716981671576,0.0,hist_median,2019.0,0.0,SUNY POLICE NANOSCALE S,special_jurisdiction,0.0,,,,5.0,False
MI3128400,7,7,9.21923316349108,9.21923316349108,0.0,hist_median,2019.0,0.0,CALUMET,local_police,696.0,61.0,12580.0,srs_agency_header,5.0,False
CA0259900,7,7,9.17123901196232,9.17123901196232,0.0,hist_median,2019.0,0.0,HP MODOC COUNTY,state_law_enforcement,0.0,49.0,1444.0,srs_agency_header,5.0,False
CA0211400,7,7,9.145865568040351,9.145865568040351,0.0,hist_median,2019.0,0.0,DPR MARIN COUNTY,special_jurisdiction,0.0,41.0,68364.0,srs_agency_header,5.0,False
PA0191600,7,7,9.112002175200418,9.112002175200418,0.0,hist_median,2019.0,0.0,SOUTH CENTRE TOWNSHIP,local_police,4191.0,37.0,72040.0,srs_agency_header,5.0,False
NBNSP0000,7,7,9.048546987594806,9.048546987594806,0.0,hist_median,2019.0,0.0,NEBRASKA STATE PATROL,state_law_enforcement,0.0,109.0,28000.0,srs_agency_header,5.0,True
IA0270000,7,7,8.953744876186986,8.953744876186986,0.0,hist_median,2020.0,0.0,DECATUR,sheriff,6047.0,53.0,99053.0,srs_agency_header,4.0,True
IL0940100,7,7,8.836512993903842,8.836512993903842,0.0,hist_median,2020.0,0.0,ALEXIS,local_police,789.0,187.0,672.0,srs_agency_header,4.0,True
PA0096100,7,7,8.819477579242912,8.819477579242912,0.0,hist_median,2019.0,0.0,LANGHORNE BOROUGH,local_police,1622.0,17.0,41392.0,srs_agency_header,5.0,True
GA0130100,7,7,8.81813649864905,8.81813649864905,0.0,hist_median,2019.0,0.0,NAHUNTA,local_police,1178.0,25.0,54124.0,srs_agency_header,5.0,True
IN387SP00,7,7,8.788290280201249,8.788290280201249,0.0,hist_median,2019.0,0.0,SP WARRICK COUNTY,state_law_enforcement,0.0,173.0,99173.0,srs_agency_header,5.0,False
MD314SP00,7,7,8.764344544610012,8.764344544610012,0.0,hist_median,2019.0,0.0,SP KENT COUNTY,state_law_enforcement,0.0,29.0,99029.0,srs_agency_header,5.0,False
PA0402600,7,7,8.761504010016603,8.761504010016603,0.0,hist_median,2018.0,0.0,WEST WYOMING,local_police,2673.0,79.0,84272.0,srs_agency_header,6.0,False
NC0923500,7,7,8.7141762003607,8.7141762003607,0.0,hist_median,2018.0,0.0,MEREDITH COLLEGE,special_jurisdiction,0.0,183.0,,fbi_cde_agency_roster,6.0,True
PA0230700,4,7,8.688473654453814,35.688473654453816,9.0,hist_median,2020.0,0.0,COLWYN,local_police,2551.0,45.0,15432.0,srs_agency_header,4.0,True
OH0140200,7,7,8.683461644970235,8.683461644970235,0.0,hist_median,2021.0,0.0,NEW VIENNA,local_police,1229.0,27.0,55748.0,srs_agency_header,3.0,False
PA0652700,7,7,8.592611322793026,8.592611322793026,0.0,hist_median,2018.0,0.0,LIGONIER,local_police,1525.0,129.0,43232.0,srs_agency_header,6.0,False
FL0240200,7,7,8.562655341682465,8.562655341682465,0.0,hist_median,2019.0,0.0,JENNINGS,local_police,872.0,47.0,35525.0,srs_agency_header,5.0,True
OH0080100,7,7,8.490894633939586,8.490894633939586,0.0,hist_median,2020.0,0.0,ABERDEEN,local_police,1606.0,15.0,142.0,srs_agency_header,4.0,True
