ori9,state_abbr,agency_name_std,agency_type_norm,population_latest_nibrs,offense,preferred_source,preferred_count,preferred_months_reported,srs_months,nibrs_months,reported_count_srs,reported_count_nibrs,reporting_regime,usable_as_observed,current_row_is_true_partial,agency_year_lane_mixed
AR0350400,AR,UNIV OF AR PINE BLUFF,special_jurisdiction,0.0,motor_vehicle_theft,nibrs_srs_equivalent_annual,0.0,6.0,6.0,6.0,0.0,0.0,true_partial,True,False,True
AR0350400,AR,UNIV OF AR PINE BLUFF,special_jurisdiction,0.0,murder,nibrs_srs_equivalent_annual,0.0,6.0,6.0,6.0,0.0,0.0,true_partial,True,False,True
AR0350400,AR,UNIV OF AR PINE BLUFF,special_jurisdiction,0.0,rape,nibrs_srs_equivalent_annual,0.0,6.0,6.0,6.0,0.0,0.0,true_partial,True,False,True
AR0350400,AR,UNIV OF AR PINE BLUFF,special_jurisdiction,0.0,robbery,nibrs_srs_equivalent_annual,0.0,6.0,6.0,6.0,0.0,0.0,true_partial,True,False,True
AR0380100,AR,WALNUT RIDGE,local_police,5575.0,aggravated_assault,srs_return_a_annual,9.0,6.0,6.0,6.0,9.0,9.0,true_partial,False,True,True
AR0380100,AR,WALNUT RIDGE,local_police,5575.0,burglary,srs_return_a_annual,5.0,6.0,6.0,6.0,5.0,5.0,true_partial,False,True,True
AR0380100,AR,WALNUT RIDGE,local_police,5575.0,larceny,srs_return_a_annual,7.0,6.0,6.0,6.0,7.0,7.0,true_partial,False,True,True
AR0380100,AR,WALNUT RIDGE,local_police,5575.0,motor_vehicle_theft,srs_return_a_annual,4.0,6.0,6.0,6.0,4.0,4.0,true_partial,False,True,True
AR0380100,AR,WALNUT RIDGE,local_police,5575.0,murder,nibrs_srs_equivalent_annual,0.0,6.0,6.0,6.0,0.0,0.0,true_partial,True,False,True
AR0380100,AR,WALNUT RIDGE,local_police,5575.0,rape,srs_return_a_annual,1.0,6.0,6.0,6.0,1.0,1.0,true_partial,False,True,True
AR0380100,AR,WALNUT RIDGE,local_police,5575.0,robbery,srs_return_a_annual,1.0,6.0,6.0,6.0,1.0,1.0,true_partial,False,True,True
AR0620000,AR,ST FRANCIS,sheriff,9511.0,aggravated_assault,srs_return_a_annual,11.0,7.0,7.0,7.0,11.0,11.0,true_partial,False,True,True
AR0620000,AR,ST FRANCIS,sheriff,9511.0,burglary,srs_return_a_annual,21.0,7.0,7.0,7.0,21.0,21.0,true_partial,False,True,True
AR0620000,AR,ST FRANCIS,sheriff,9511.0,larceny,srs_return_a_annual,1.0,7.0,7.0,7.0,1.0,1.0,true_partial,False,True,True
AR0620000,AR,ST FRANCIS,sheriff,9511.0,motor_vehicle_theft,nibrs_srs_equivalent_annual,0.0,7.0,7.0,7.0,0.0,0.0,true_partial,True,False,True
AR0620000,AR,ST FRANCIS,sheriff,9511.0,murder,nibrs_srs_equivalent_annual,0.0,7.0,7.0,7.0,0.0,0.0,true_partial,True,False,True
AR0620000,AR,ST FRANCIS,sheriff,9511.0,rape,srs_return_a_annual,3.0,7.0,7.0,7.0,3.0,3.0,true_partial,False,True,True
AR0620000,AR,ST FRANCIS,sheriff,9511.0,robbery,nibrs_srs_equivalent_annual,0.0,7.0,7.0,7.0,0.0,0.0,true_partial,True,False,True
AR0740100,AR,AUGUSTA,local_police,1958.0,aggravated_assault,srs_return_a_annual,5.0,9.0,9.0,9.0,5.0,5.0,true_partial,False,True,True
AR0740100,AR,AUGUSTA,local_police,1958.0,burglary,srs_return_a_annual,4.0,9.0,9.0,9.0,4.0,4.0,true_partial,False,True,True
AR0740100,AR,AUGUSTA,local_police,1958.0,larceny,srs_return_a_annual,10.0,9.0,9.0,9.0,10.0,10.0,true_partial,False,True,True
AR0740100,AR,AUGUSTA,local_police,1958.0,motor_vehicle_theft,nibrs_srs_equivalent_annual,0.0,9.0,9.0,9.0,0.0,0.0,true_partial,True,False,True
AR0740100,AR,AUGUSTA,local_police,1958.0,murder,srs_return_a_annual,1.0,9.0,9.0,9.0,1.0,1.0,true_partial,False,True,True
AR0740100,AR,AUGUSTA,local_police,1958.0,rape,srs_return_a_annual,1.0,9.0,9.0,9.0,1.0,1.0,true_partial,False,True,True
AR0740100,AR,AUGUSTA,local_police,1958.0,robbery,nibrs_srs_equivalent_annual,0.0,9.0,9.0,9.0,0.0,0.0,true_partial,True,False,True
AZ0020000,AZ,COCHISE,sheriff,50515.0,aggravated_assault,srs_return_a_annual,44.0,8.0,8.0,8.0,44.0,44.0,true_partial,False,True,True
