ori9,year,header_months,agency_indicator,city_name,header_population,state_abbr,in_nibrs_lane,in_srs_lane,agency_name_std,agency_type_norm,population_latest_nibrs,county_fips,place_fips,county_fips_source,defect,absent_from_both_lanes
CA0190000,2024,1,county,monterey park,1110752.0,CA,False,True,LOS ANGELES,sheriff,1110752.0,037,99037,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
CA0360000,2024,1,county,san bernardino,332589.0,CA,False,True,SAN BERNARDINO,sheriff,332589.0,071,99071,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
HI0010000,2024,1,county,hilo,212335.0,HI,False,True,HAWAII POLICE DEPARTMENT,local_police,212335.0,001,99001,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
CA0100000,2024,1,county,fresno,178332.0,CA,False,True,FRESNO,sheriff,178332.0,019,99019,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
CA0500000,2024,1,county,modesto,118098.0,CA,False,True,STANISLAUS,sheriff,118098.0,099,99099,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
FL0280000,2024,2,county,sebring,97382.0,FL,False,True,HIGHLANDS,sheriff,97382.0,055,99055,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
IL0570100,2024,3,city,bloomington,78554.0,IL,False,True,BLOOMINGTON,local_police,78955.0,113,06613,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
AL0640000,2024,12,county,jasper,41418.0,AL,False,True,WALKER,sheriff,41418.0,127,99127,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
IN0150000,2024,1,county,lawrenceburg,38366.0,IN,False,True,DEARBORN,sheriff,38366.0,029,99029,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
NM0210000,2024,1,county,espanola,33039.0,NM,False,True,RIO ARRIBA,sheriff,33039.0,039,99039,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
MI1811800,2024,2,county,harrison,28623.0,MI,False,True,CLARE,sheriff,28623.0,035,99035,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
MS0750000,2024,1,county,vicksburg,21918.0,MS,False,True,WARREN,sheriff,24175.0,149,99149,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
AL0300000,2024,4,county,brewton,19554.0,AL,False,True,ESCAMBIA,sheriff,19554.0,053,99053,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
MD0200000,2024,2,county,westover,19290.0,MD,False,True,SOMERSET,sheriff,19666.0,039,99039,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
VT0090000,2024,12,county,chelsea,18510.0,VT,False,True,ORANGE,sheriff,23696.0,017,99017,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
AL0340000,2024,12,county,geneva,16235.0,AL,False,True,GENEVA,sheriff,16315.0,061,99061,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
GA0440500,2024,6,city,clarkston,14285.0,GA,False,True,CLARKSTON,local_police,14442.0,089,16544,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
NM0250000,2024,12,county,las vegas,13913.0,NM,False,True,SAN MIGUEL,sheriff,14484.0,047,99047,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
GA1110000,2024,12,county,fort valley,13298.0,GA,False,True,PEACH,sheriff,13309.0,225,99225,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
MS0060000,2024,4,county,cleveland,12328.0,MS,False,True,BOLIVAR,sheriff,13217.0,011,99011,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
PA0070300,2024,1,city,altoona,12101.0,PA,False,True,LOGAN TOWNSHIP,local_police,12499.0,013,44328,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
IA0640000,2024,1,county,marshalltown,11378.0,IA,False,True,MARSHALL,sheriff,11501.0,127,99127,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
AL0500400,2024,5,city,boaz,10455.0,AL,False,True,BOAZ,local_police,10455.0,095,07912,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
IN0210000,2024,1,county,connersville,10199.0,IN,False,True,FAYETTE,sheriff,10271.0,041,99041,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
WV0040000,2024,2,county,sutton,10198.0,WV,False,True,BRAXTON,sheriff,11813.0,007,99007,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
AL0100000,2024,1,county,greenville,9595.0,AL,False,True,BUTLER,sheriff,10410.0,013,99013,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
MA0052700,2024,2,city,rowley,6547.0,MA,False,True,ROWLEY,local_police,6547.0,009,58405,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
VT0050000,2024,12,county,guildhall,6035.0,VT,False,True,ESSEX,sheriff,6035.0,009,99009,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
AL0010800,2024,11,city,birmingham,5746.0,AL,False,True,TARRANT,local_police,6175.0,073,74976,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
IL0090200,2024,1,city,beardstown,5691.0,IL,False,True,BEARDSTOWN,local_police,5764.0,017,04351,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
PA0021400,2024,10,city,mckees rocks,5626.0,PA,False,True,MCKEES ROCKS,local_police,5929.0,003,46264,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
NB0300000,2024,3,county,geneva,5600.0,NB,False,True,FILLMORE,sheriff,5600.0,059,99059,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
AL0310400,2024,11,city,glencoe,5412.0,AL,False,True,GLENCOE,local_police,5412.0,055,29992,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
MI7717700,2024,2,county,manistique,5405.0,MI,False,True,SCHOOLCRAFT,sheriff,5405.0,153,99153,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
CO0440100,2024,3,city,brush,5247.0,CO,False,True,BRUSH,local_police,5434.0,087,09555,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
MN0120200,2024,12,city,montevideo,5180.0,MN,False,True,MONTEVIDEO,local_police,5247.0,023,43720,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
MN0701000,2024,12,city,elko new market,5126.0,MN,False,True,ELKO NEW MARKET,local_police,5128.0,139,,fbi_cde_agency_roster,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
AL0260200,2024,4,city,daleville,4949.0,AL,False,True,DALEVILLE,local_police,5096.0,045,19360,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
PA0390500,2024,1,city,fountain hill,4789.0,PA,False,True,FOUNTAIN HILL,local_police,4838.0,077,27008,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
TX0640500,2024,6,city,,4553.0,TX,False,True,CARRIZO SPRINGS,local_police,4553.0,127,,fbi_cde_agency_roster,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
VT0110300,2024,12,city,castleton,4441.0,VT,False,True,CASTLETON,local_police,4599.0,021,11950,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
IL0050000,2024,12,county,mt sterling,4413.0,IL,False,True,BROWN,sheriff,4750.0,009,99009,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
AL0340100,2024,9,city,geneva,4208.0,AL,False,True,GENEVA,local_police,4353.0,061,29464,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
NB0470000,2024,10,county,saint paul,4184.0,NB,False,True,HOWARD,sheriff,4221.0,093,99093,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
OH0572900,2024,4,city,brookville,4106.0,OH,False,True,CLAY TOWNSHIP,local_police,4251.0,113,15518,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
NY0262500,2024,12,city,hamilton,4099.0,NY,False,True,HAMILTON VILLAGE,local_police,4100.0,053,31709,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
OH0280600,2024,2,city,chagrin falls,3928.0,OH,False,True,SOUTH RUSSELL,local_police,3971.0,055,73684,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
KY0950000,2024,12,county,booneville,3877.0,KY,False,True,OWSLEY,sheriff,4296.0,189,99189,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
OH0151400,2024,10,city,east liverpool,3759.0,OH,False,True,LIVERPOOL TOWNSHIP,local_police,3818.0,029,44226,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
VT0141000,2024,12,city,norwich,3653.0,VT,False,True,NORWICH,local_police,3681.0,027,52900,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
SD0330000,2024,12,county,olivet,3313.0,SD,False,True,HUTCHINSON,sheriff,3425.0,067,99067,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
GA0280200,2024,1,city,ball ground,3256.0,GA,False,True,BALL GROUND,local_police,3256.0,057,05036,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
ID0370100,2024,1,city,homedale,3227.0,ID,False,True,HOMEDALE,local_police,3244.0,073,38170,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
IN0430300,2024,1,city,,3211.0,IN,False,True,SYRACUSE,local_police,3211.0,085,74744,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
LA0420200,2024,1,city,rayville,3186.0,LA,False,True,RAYVILLE,local_police,3557.0,083,63680,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
IL0020000,2024,4,county,cairo,3125.0,IL,False,True,ALEXANDER,sheriff,3844.0,003,99003,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
MN0090200,2024,6,city,moose lake,3083.0,MN,False,True,MOOSE LAKE,local_police,3083.0,017,43954,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
NB0120100,2024,1,city,david city,3032.0,NB,False,True,DAVID CITY,local_police,3066.0,023,12315,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
NB0820000,2024,12,county,loup city,3025.0,NB,False,True,SHERMAN,sheriff,3068.0,163,99163,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
AL0530000,2024,12,county,marion,3014.0,AL,False,True,PERRY,sheriff,3638.0,105,99105,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
TX0980200,2024,12,city,spearman,3002.0,TX,False,True,SPEARMAN,local_police,3275.0,195,69476,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
OH0230300,2024,8,city,baltimore,2993.0,OH,False,True,BALTIMORE,local_police,3030.0,045,03758,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
MN0230100,2024,12,city,,2991.0,MN,False,True,CHATFIELD,local_police,3007.0,045,11008,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
OH0572500,2024,1,city,germantown,2924.0,OH,False,True,GERMAN TOWNSHIP,local_police,2924.0,113,29904,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
GA1560100,2024,5,city,abbeville,2881.0,GA,False,True,ABBEVILLE,local_police,2881.0,315,00184,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
OH0021600,2024,1,city,marion township,2799.0,OH,False,True,MARION TOWNSHIP,local_police,3031.0,003,47656,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
WY0130400,2024,1,city,evansville,2776.0,WY,False,True,EVANSVILLE,local_police,3046.0,025,25765,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
MN0280100,2024,12,city,caledonia,2775.0,MN,False,True,CALEDONIA,local_police,2823.0,055,09226,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
KS0750100,2024,1,city,saint marys,2748.0,KS,False,True,ST MARYS,local_police,2768.0,149,62400,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
AL0340300,2024,4,city,hartford,2747.0,AL,False,True,HARTFORD,local_police,2747.0,061,33424,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
NC0760300,2024,4,city,liberty,2719.0,NC,False,True,LIBERTY,local_police,2719.0,151,38100,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
AL0530100,2024,12,city,marion,2610.0,AL,False,True,MARION,local_police,3265.0,105,46768,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
IL0510300,2024,11,city,sumner,2583.0,IL,False,True,SUMNER,local_police,3158.0,101,73703,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
NB0440000,2024,2,county,trenton,2559.0,NB,False,True,HITCHCOCK,sheriff,2818.0,087,99087,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
MN0181100,2024,12,city,pequot lakes,2486.0,MN,False,True,PEQUOT LAKES,local_police,2486.0,035,50416,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
MO0440000,2024,3,county,oregon,2438.0,MO,False,True,HOLT,sheriff,2566.0,087,99087,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
OH0120600,2024,1,city,enon,2428.0,OH,False,True,ENON,local_police,2436.0,023,25452,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
SD0550000,2024,1,county,woonsocket,2409.0,SD,False,True,SANBORN,sheriff,2476.0,111,99111,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
KY1010000,2024,12,county,mount olivet,2387.0,KY,False,True,ROBERTSON,sheriff,2387.0,201,99201,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
WV0480100,2024,4,city,paden city,2368.0,WV,False,True,PADEN CITY,local_police,2424.0,103,61636,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
GA1520000,2024,3,county,preston,2342.0,GA,False,True,WEBSTER,sheriff,2588.0,307,81128,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
AL0380900,2024,12,city,taylor,2324.0,AL,False,True,TAYLOR,local_police,2449.0,069,75096,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
OR0080200,2024,1,city,gold beach,2319.0,OR,False,True,GOLD BEACH,local_police,2385.0,015,29900,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
OH0790500,2024,1,city,sugarcreek,2315.0,OH,False,True,SUGARCREEK,local_police,2320.0,157,75210,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
NB0650000,2024,11,county,nelson,2313.0,NB,False,True,NUCKOLLS,sheriff,2384.0,129,99129,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
NJ0191600,2024,12,city,ogdensburg,2307.0,NJ,False,True,OGDENSBURG,local_police,2307.0,037,54660,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
KY0110200,2024,12,city,junction city,2294.0,KY,False,True,JUNCTION CITY,local_police,2347.0,021,41338,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
TX1070200,2024,1,city,malakoff,2275.0,TX,False,True,MALAKOFF,local_police,2331.0,213,46224,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
GA0780300,2024,7,city,maysville,2266.0,GA,False,True,MAYSVILLE,local_police,2266.0,011,50484,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
OH0311300,2024,1,city,cincinnati,2250.0,OH,False,True,GLENDALE,local_police,2266.0,061,30380,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
PA0027700,2024,2,city,mckeesport,2238.0,PA,False,True,LIBERTY,local_police,2477.0,003,43064,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
TX0550000,2024,12,county,van horn,2223.0,TX,False,True,CULBERSON,sheriff,2223.0,109,99109,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
NB0530100,2024,1,city,kimball,2165.0,NB,False,True,KIMBALL,local_police,2359.0,105,25475,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
AL0340400,2024,12,city,slocomb,2149.0,AL,False,True,SLOCOMB,local_police,2149.0,061,71040,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
IN0840200,2024,1,city,west terre haute,2149.0,IN,False,True,WEST TERRE HAUTE,local_police,2217.0,167,83384,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
AL0360100,2024,8,city,greensboro,2147.0,AL,False,True,GREENSBORO,local_police,2290.0,065,31720,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
SD0240000,2024,12,county,faulkton,2144.0,SD,False,True,FAULK,sheriff,2336.0,049,99049,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
MO0730200,2024,9,city,granby,2092.0,MO,False,True,GRANBY,local_police,2100.0,145,28108,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
TX0910100,2024,12,city,collinsville,2076.0,TX,False,True,COLLINSVILLE,local_police,2086.0,181,16036,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
NB0880100,2024,11,city,ord,2066.0,NB,False,True,ORD,local_police,2114.0,175,37280,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
NH0074800,2024,12,city,bradford,2060.0,NH,False,True,SUTTON,local_police,2060.0,013,75460,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
IL0561800,2024,10,city,oakwood hills,2048.0,IL,False,True,OAKWOOD HILLS,local_police,2085.0,111,55041,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
MN0420200,2024,11,city,tracy,2033.0,MN,False,True,TRACY,local_police,2094.0,083,65308,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
MO1070600,2024,11,city,rockaway beach,2024.0,MO,False,True,MERRIAM WOODS,local_police,2025.0,213,47520,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
IA0540100,2024,12,city,sigourney,1980.0,IA,False,True,SIGOURNEY,local_police,2013.0,107,73110,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
OH0720400,2024,2,city,woodville,1979.0,OH,False,True,WOODVILLE,local_police,2038.0,143,86492,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
GA1500300,2024,7,city,davisboro,1976.0,GA,False,True,DAVISBORO,local_police,1976.0,303,21800,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
CO0430400,2024,1,city,olathe,1945.0,CO,False,True,OLATHE,local_police,1961.0,085,55540,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
NB0150100,2024,11,city,imperial,1939.0,NB,False,True,IMPERIAL,local_police,2074.0,029,23690,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
OH0252000,2024,8,city,columbus,1922.0,OH,False,True,MINERVA PARK,local_police,1949.0,049,50862,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
MO1140000,2024,11,county,grant city,1899.0,MO,False,True,WORTH,sheriff,2042.0,227,99227,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
OH0110600,2024,2,city,st paris,1886.0,OH,False,True,ST PARIS,local_police,2005.0,021,69708,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
MN0250400,2024,12,city,kenyon,1874.0,MN,False,True,KENYON,local_police,1907.0,049,32840,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
MN0230500,2024,12,city,rushford,1861.0,MN,False,True,RUSHFORD,local_police,1861.0,045,56284,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
AL0340200,2024,11,city,samson,1859.0,AL,False,True,SAMSON,local_police,1880.0,061,67800,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
NB0370000,2024,12,county,elwood,1851.0,NB,False,True,GOSPER,sheriff,2022.0,073,99073,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
OH0010100,2024,6,city,manchester,1843.0,OH,False,True,MANCHESTER,local_police,1961.0,001,47012,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
AL0011600,2024,10,city,graysville,1835.0,AL,False,True,GRAYSVILLE,local_police,2107.0,073,31384,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
ME0101300,2024,12,city,veazie,1824.0,ME,False,True,VEAZIE,local_police,1831.0,019,78780,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
AL0080200,2024,12,city,blountsville,1816.0,AL,False,True,BLOUNTSVILLE,local_police,1825.0,009,07456,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
WV0010100,2024,5,city,belington,1784.0,WV,False,True,BELINGTON,local_police,1900.0,001,05788,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
NB0150000,2024,6,county,imperial,1772.0,NB,False,True,CHASE,sheriff,1902.0,029,99029,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
TX2340200,2024,12,city,edgewood,1763.0,TX,False,True,EDGEWOOD,local_police,1763.0,467,22612,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
ND0110200,2024,11,city,oakes,1757.0,ND,False,True,OAKES,local_police,1778.0,021,58740,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
OH0461000,2024,1,city,west liberty,1753.0,OH,False,True,WEST LIBERTY,local_police,1799.0,091,83734,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
TX0560000,2024,12,county,dalhart,1748.0,TX,False,True,DALLAM,sheriff,1748.0,111,99111,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
MT0380000,2024,12,county,broadus,1741.0,MT,False,True,POWDER RIVER,sheriff,1758.0,075,99075,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
WV0370100,2024,8,city,saint marys,1739.0,WV,False,True,ST MARYS,local_police,1815.0,073,71356,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
NB0110300,2024,7,city,tekamah,1716.0,NB,False,True,TEKAMAH,local_police,1728.0,021,48515,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
IA0820500,2024,12,city,blue grass,1693.0,IA,False,True,BLUE GRASS,local_police,1715.0,163,07075,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
MN0540100,2024,12,city,,1690.0,MN,False,True,ADA,local_police,1741.0,107,00172,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
KY1130200,2024,12,city,sturgis,1654.0,KY,False,True,STURGIS,local_police,1824.0,225,74316,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
KY0930300,2024,12,city,pewee valley,1650.0,KY,False,True,PEWEE VALLEY,local_police,1650.0,185,60492,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
IA0060400,2024,12,city,,1649.0,IA,False,True,URBANA,local_police,1649.0,011,,leaic_crosswalk,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
OH0110500,2024,4,city,,1647.0,OH,False,True,NORTH LEWISBURG,local_police,1647.0,021,,fbi_cde_agency_roster,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
MA0060500,2024,12,city,,1638.0,MA,False,True,COLRAIN,local_police,1638.0,011,14885,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
WI0521600,2024,9,city,,1631.0,WI,False,True,WIND POINT,local_police,1705.0,101,87700,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
TX1701800,2024,12,city,new caney,1603.0,TX,False,True,WOODBRANCH,local_police,1603.0,339,80044,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
OH0430900,2024,6,city,perry,1595.0,OH,False,True,PERRY,local_police,1628.0,085,61882,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
OH0750400,2024,1,city,fort loramie,1582.0,OH,False,True,FORT LORAMIE,local_police,1596.0,149,27832,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
SC0180400,2024,11,city,ridgeville,1570.0,SC,False,True,RIDGEVILLE,local_police,1830.0,035,60370,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
OH0350200,2024,2,city,deshler,1559.0,OH,False,True,DESHLER,local_police,1721.0,069,21812,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
WV0430100,2024,2,city,harrisville,1532.0,WV,False,True,HARRISVILLE,local_police,1722.0,085,35428,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
WI0570400,2024,1,city,spring green,1529.0,WI,False,True,SPRING GREEN,local_police,1644.0,111,76050,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
OH0070300,2024,12,city,bridgeport,1522.0,OH,False,True,BRIDGEPORT,local_police,1756.0,013,08560,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
TX1292100,2024,11,city,,1521.0,TX,False,True,OAK RIDGE KAUFMAN COUNT,local_police,1521.0,257,,fbi_cde_agency_roster,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
OH0680700,2024,2,city,new paris,1473.0,OH,False,True,NEW PARIS,local_police,1573.0,135,55188,srs_agency_header,nibrs_submitted_year_absent_from_lane_reads_as_missing_not_zero,False
