ori9,state_abbr,agency_name_std,agency_type_norm,population_latest_nibrs,offense,months,preferred_count,implied_full_year_if_annualized,understatement,reporting_regime,preferred_source
OH0690000,OH,PUTNAM,sheriff,20990.0,motor_vehicle_theft,11.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0670800,OH,HIRAM,local_police,1135.0,robbery,2.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0670800,OH,HIRAM,local_police,1135.0,murder,2.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0670800,OH,HIRAM,local_police,1135.0,motor_vehicle_theft,2.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
WI0450600,WI,SHIOCTON,local_police,938.0,murder,10.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0670800,OH,HIRAM,local_police,1135.0,larceny,2.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0670800,OH,HIRAM,local_police,1135.0,aggravated_assault,2.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
WI0450600,WI,SHIOCTON,local_police,938.0,larceny,10.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
WI0450600,WI,SHIOCTON,local_police,938.0,robbery,10.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
WI0470200,WI,PEPIN,local_police,775.0,motor_vehicle_theft,6.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0670600,OH,WINDHAM,local_police,2210.0,robbery,10.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0670600,OH,WINDHAM,local_police,2210.0,rape,10.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
OH0670600,OH,WINDHAM,local_police,2210.0,murder,10.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
WI0470200,WI,PEPIN,local_police,775.0,murder,6.0,0.0,0.0,0.0,true_partial,nibrs_srs_equivalent_annual
