ori7c,ori9,state_abbr,state_fips,year,aggravated_assault,burglary,larceny,motor_vehicle_theft,murder,rape,robbery,total,sig,preferred_sources,max_preferred_months,n_usable,agency_name_std,agency_type_norm,population_latest_nibrs,county_fips,place_fips,county_fips_source,cw_n_jurisdictions,cw_weight_sum,cw_relationship,cw_jurisdictions,estimated_count_2024_all_offenses,n_ori9,n_ori7,group_total_sum,group_total_max,group_excess_mass,duplicate_class,match_evidence
PA00265,PA0026500,PA,42,2024,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0|0|0|0|0|3|0,cius_publication_annual,12.0,7,EDGEWORTH,local_police,1653.0,003,22576,srs_agency_header,1.0,1.0,exclusive,42:municipal:cousub:4200322576,3.0,20,20,60.0,3.0,57.0,T2_different_ori7_identical_signature,identical_7_offense_vector
PA00456,PA0045600,PA,42,2024,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0|0|0|0|0|3|0,srs_return_a_annual,2.0,0,SPR RACCOON CREEK,unknown,0.0,007,,fbi_cde_agency_roster,1.0,1.0,overlap,42:statewide_overlap_layer,18.0,20,20,60.0,3.0,57.0,T2_different_ori7_identical_signature,identical_7_offense_vector
PA01112,PA0111200,PA,42,2024,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0|0|0|0|0|3|0,cius_publication_annual,12.0,7,NANTY GLO,local_police,2512.0,021,52616,srs_agency_header,1.0,1.0,exclusive,42:municipal:cousub:4202152616,3.0,20,20,60.0,3.0,57.0,T2_different_ori7_identical_signature,identical_7_offense_vector
PA01114,PA0111400,PA,42,2024,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0|0|0|0|0|3|0,cius_publication_annual,12.0,7,PORTAGE,local_police,2419.0,021,62048,srs_agency_header,1.0,1.0,exclusive,42:municipal:cousub:4202162048,3.0,20,20,60.0,3.0,57.0,T2_different_ori7_identical_signature,identical_7_offense_vector
PA01132,PA0113200,PA,42,2024,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0|0|0|0|0|3|0,srs_return_a_annual,6.0,0,JACKSON TOWNSHIP,local_police,4176.0,021,37352,srs_agency_header,1.0,1.0,exclusive,42:municipal:cousub:4202137352,10.362401002307347,20,20,60.0,3.0,57.0,T2_different_ori7_identical_signature,identical_7_offense_vector
PA01137,PA0113700,PA,42,2024,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0|0|0|0|0|3|0,cius_publication_annual,12.0,7,SANKERTOWN,local_police,627.0,021,67920,srs_agency_header,1.0,1.0,exclusive,42:municipal:cousub:4202167920,3.0,20,20,60.0,3.0,57.0,T2_different_ori7_identical_signature,identical_7_offense_vector
PA01562,PA0156200,PA,42,2024,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0|0|0|0|0|3|0,cius_publication_annual,12.0,7,EAST MARLBOROUGH TOWNSHI,local_police,8072.0,029,21480,srs_agency_header,1.0,1.0,exclusive,42:municipal:cousub:4202921480,3.0,20,20,60.0,3.0,57.0,T2_different_ori7_identical_signature,identical_7_offense_vector
PA01915,PA0191500,PA,42,2024,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0|0|0|0|0|3|0,cius_publication_annual,12.0,7,LOCUST TOWNSHIP,local_police,2024.0,037,44208,srs_agency_header,1.0,1.0,exclusive,42:municipal:cousub:4203744208,3.0,20,20,60.0,3.0,57.0,T2_different_ori7_identical_signature,identical_7_offense_vector
PA02125,PA0212500,PA,42,2024,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0|0|0|0|0|3|0,srs_return_a_annual,3.0,0,SPR PINE GROVE FURNACE,special_jurisdiction,0.0,041,99041,srs_agency_header,1.0,1.0,overlap,42:statewide_overlap_layer,12.0,20,20,60.0,3.0,57.0,T2_different_ori7_identical_signature,identical_7_offense_vector
PA04041,PA0404100,PA,42,2024,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0|0|0|0|0|3|0,srs_return_a_annual,6.0,0,JACKSON TOWNSHIP,local_police,4815.0,079,37400,srs_agency_header,1.0,1.0,exclusive,42:municipal:cousub:4207937400,7.8045034367856125,20,20,60.0,3.0,57.0,T2_different_ori7_identical_signature,identical_7_offense_vector
PA04203,PA0420300,PA,42,2024,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0|0|0|0|0|3|0,cius_publication_annual,12.0,7,PORT ALLEGANY,local_police,2069.0,083,62088,srs_agency_header,1.0,1.0,exclusive,42:municipal:cousub:4208362088,3.0,20,20,60.0,3.0,57.0,T2_different_ori7_identical_signature,identical_7_offense_vector
PA04656,PA0465600,PA,42,2024,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0|0|0|0|0|3|0,srs_return_a_annual,2.0,0,SPR FORT WASHINGTON,unknown,0.0,091,,fbi_cde_agency_roster,1.0,1.0,overlap,42:statewide_overlap_layer,18.0,20,20,60.0,3.0,57.0,T2_different_ori7_identical_signature,identical_7_offense_vector
PA04831,PA0483100,PA,42,2024,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0|0|0|0|0|3|0,cius_publication_annual,12.0,7,FREEMANSBURG,local_police,2903.0,095,27760,srs_agency_header,1.0,1.0,exclusive,42:municipal:cousub:4209527760,3.0,20,20,60.0,3.0,57.0,T2_different_ori7_identical_signature,identical_7_offense_vector
PA05437,PA0543700,PA,42,2024,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0|0|0|0|0|3|0,srs_return_a_annual,2.0,0,WEST MAHANOY TOWNSHIP,local_police,2790.0,107,83408,srs_agency_header,1.0,1.0,exclusive,42:municipal:cousub:4210783408,22.273725150412663,20,20,60.0,3.0,57.0,T2_different_ori7_identical_signature,identical_7_offense_vector
PA06111,PA0611100,PA,42,2024,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0|0|0|0|0|3|0,cius_publication_annual,12.0,7,EMLENTON BOROUGH,local_police,604.0,121,23568,srs_agency_header,1.0,1.0,exclusive,42:municipal:place:4223568,3.0,20,20,60.0,3.0,57.0,T2_different_ori7_identical_signature,identical_7_offense_vector
PA06561,PA0656100,PA,42,2024,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0|0|0|0|0|3|0,srs_return_a_annual,2.0,0,SPR LINN RUN,unknown,0.0,129,,fbi_cde_agency_roster,1.0,1.0,overlap,42:statewide_overlap_layer,18.0,20,20,60.0,3.0,57.0,T2_different_ori7_identical_signature,identical_7_offense_vector
