ori9,year,offense,count,quarters_reported,months_reported,state_abbr,source,raw_data_source,assumed_months_reported
MS0100100,2024,larceny,8.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0100100,2024,rape,1.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0110000,2024,aggravated_assault,42.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0110000,2024,burglary,7.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0110000,2024,larceny,4.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0110000,2024,motor_vehicle_theft,19.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0110000,2024,rape,1.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0110000,2024,robbery,1.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0110100,2024,aggravated_assault,2.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0110100,2024,burglary,11.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0110100,2024,larceny,25.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0110100,2024,motor_vehicle_theft,6.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0110100,2024,murder,1.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0120100,2024,burglary,2.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0120100,2024,larceny,26.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0130000,2024,aggravated_assault,5.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0130000,2024,burglary,15.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0130000,2024,larceny,14.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0130000,2024,motor_vehicle_theft,12.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0130000,2024,murder,2.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
MS0130000,2024,rape,2.0,,,MS,state_publication_annual,ms_tops_offense_detail_annual,12.0
