ori9,state_abbr,state_fips,year,total,max_months,min_months,n_usable,n_partial,sources,own_history_median_full_year_total,own_history_full_years,agency_name_std,agency_type_norm,population_latest_nibrs,county_fips,place_fips,county_fips_source,population,rate_per_100k,own_history_ratio,pop_band,peer_median_rate_per_100k,peer_rate_ratio,screen_own_history,screen_peer_floor,REVIEW_both,REVIEW_peer_only_no_history
NY0357700,NY,36,2024,4.0,12.0,12.0,7,0,cius_publication_annual,12.0,5.0,CHESTER TOWN,local_police,8608.0,071,15308,srs_agency_header,8608.0,46.468401486988846,0.3333333333333333,"(5000.0, 10000.0]",1096.8692275851467,0.042364577579857066,True,True,True,False
MD0010300,MD,24,2024,8.0,12.0,12.0,7,0,cius_publication_annual,89.0,6.0,FROSTBURG,local_police,8591.0,001,30900,srs_agency_header,8591.0,93.12070771737865,0.0898876404494382,"(5000.0, 10000.0]",1096.8692275851467,0.08489681848618545,True,True,True,False
MN0520000,MN,27,2024,10.0,12.0,12.0,7,0,nibrs_srs_equivalent_annual,62.0,6.0,NICOLLET,sheriff,8504.0,103,99103,srs_agency_header,8504.0,117.59172154280337,0.16129032258064516,"(5000.0, 10000.0]",593.5221298965575,0.19812525198226044,True,True,True,False
PA0101800,PA,42,2024,10.0,12.0,12.0,7,0,cius_publication_annual,38.0,2.0,BUFFALO TOWNSHIP,local_police,8228.0,019,10000,srs_agency_header,8228.0,121.53621779290229,0.2631578947368421,"(5000.0, 10000.0]",1096.8692275851467,0.11080283295071999,True,True,True,False
PA0156200,PA,42,2024,3.0,12.0,12.0,7,0,cius_publication_annual,15.0,1.0,EAST MARLBOROUGH TOWNSHI,local_police,8072.0,029,21480,srs_agency_header,8072.0,37.16551040634291,0.2,"(5000.0, 10000.0]",1096.8692275851467,0.03388326472442483,True,True,True,False
AL0210000,AL,01,2024,1.0,12.0,12.0,7,0,nibrs_srs_equivalent_annual,12.5,2.0,CONECUH,sheriff,7901.0,035,99035,srs_agency_header,7901.0,12.656625743576763,0.08,"(5000.0, 10000.0]",593.5221298965575,0.021324606288534907,True,True,True,False
NJ0021400,NJ,34,2024,7.0,12.0,12.0,7,0,cius_publication_annual,27.0,4.0,EMERSON,local_police,7900.0,003,21450,srs_agency_header,7900.0,88.60759493670886,0.25925925925925924,"(5000.0, 10000.0]",1096.8692275851467,0.0807822780586034,True,True,True,False
IL0491900,IL,17,2024,14.0,12.0,12.0,7,0,cius_publication_annual,52.0,3.0,ROUND LAKE PARK,local_police,7779.0,097,66066,srs_agency_header,7779.0,179.97171872991387,0.2692307692307692,"(5000.0, 10000.0]",1096.8692275851467,0.16407764408354977,True,True,True,False
IL0180000,IL,17,2024,3.0,12.0,12.0,7,0,nibrs_srs_equivalent_annual,14.0,3.0,CUMBERLAND,sheriff,7719.0,035,99035,srs_agency_header,7719.0,38.8651379712398,0.21428571428571427,"(5000.0, 10000.0]",593.5221298965575,0.06548220531897174,True,True,True,False
VT0070000,VT,50,2024,8.0,12.0,12.0,7,0,nibrs_srs_equivalent_annual,39.0,5.0,GRAND ISLE,sheriff,7578.0,013,99013,srs_agency_header,7578.0,105.56875164951175,0.20512820512820512,"(5000.0, 10000.0]",593.5221298965575,0.17786826527919167,True,True,True,False
IA0980000,IA,19,2024,9.0,12.0,12.0,7,0,nibrs_srs_equivalent_annual,34.5,6.0,WORTH,sheriff,7441.0,195,99195,srs_agency_header,7441.0,120.9514850154549,0.2608695652173913,"(5000.0, 10000.0]",593.5221298965575,0.20378597346746788,True,True,True,False
TX1420000,TX,48,2024,1.0,12.0,12.0,7,0,nibrs_srs_equivalent_annual,49.0,5.0,LA SALLE,sheriff,7073.0,283,99283,srs_agency_header,7073.0,14.138272303124559,0.02040816326530612,"(5000.0, 10000.0]",593.5221298965575,0.023820969077578722,True,True,True,False
