ori9,state_abbr,2018,2019,2020,2021,2022,2023,2024,max_months,min_months,n_usable,n_partial,src,baseline_median_2021_2023,ratio_2024_vs_baseline,estimated_2024,fill_sources,agency_name_std,agency_type_norm,population_latest_nibrs,published_as_full_year
LADI00600,LA,74.0,104.0,35.0,105.0,88.0,51.0,30.0,5.0,5.0,4,3,nibrs_srs_equivalent_annual|srs_return_a_annual,88.0,0.3409090909090909,72.0,observed|true_partial_month_ratio,COUSHATTA TRIBAL,local_police,0.0,False
FL0132100,FL,89.0,105.0,110.0,0.0,87.0,108.0,0.0,0.0,0.0,0,0,srs_return_a_annual,87.0,0.0,104.84043103552366,trend_log_linear,WEST MIAMI,local_police,9154.0,False
NY324SD00,NY,98.0,75.0,91.0,0.0,87.0,93.0,0.0,0.0,0.0,0,0,srs_return_a_annual,87.0,0.0,90.7186817111332,trend_log_linear,SP LEWIS COUNTY,state_law_enforcement,0.0,False
NM0300300,NM,58.0,59.0,55.0,87.0,93.0,24.0,0.0,0.0,0.0,0,0,srs_return_a_annual,87.0,0.0,63.153508392412164,hist_median|trend_log_linear,MORIARTY,local_police,2033.0,False
OKDI15000,OK,127.0,135.0,72.0,87.0,90.0,51.0,28.0,7.0,7.0,7,0,nibrs_srs_equivalent_annual,87.0,0.3218390804597701,28.0,observed,COMANCHE NATION,local_police,0.0,False
CO0600000,CO,136.0,66.0,111.0,95.0,86.0,37.0,7.0,12.0,12.0,7,0,nibrs_srs_equivalent_annual,86.0,0.08139534883720931,7.0,observed,TELLER,sheriff,16188.0,True
MO0280300,MO,97.0,102.0,79.0,75.0,86.0,91.0,30.0,12.0,12.0,7,0,cius_publication_annual,86.0,0.3488372093023256,30.0,observed,STEELVILLE,local_police,1677.0,True
SC0200100,SC,77.0,101.0,100.0,85.0,85.0,7.0,0.0,0.0,0.0,0,0,srs_return_a_annual,85.0,0.0,73.82703939857176,hist_median|trend_log_linear,WINNSBORO,local_police,3231.0,False
GA0850000,GA,136.0,67.0,89.0,88.0,85.0,43.0,7.0,3.0,3.0,7,0,nibrs_srs_equivalent_annual,85.0,0.08235294117647059,7.0,observed,LAMAR,sheriff,13915.0,False
WV0230000,WV,116.0,135.0,104.0,120.0,84.0,26.0,24.0,12.0,12.0,7,0,nibrs_srs_equivalent_annual|srs_return_a_annual,84.0,0.2857142857142857,24.0,observed,LOGAN,sheriff,28398.0,True
NY353SC00,NY,92.0,105.0,96.0,0.0,97.0,84.0,0.0,0.0,0.0,0,0,srs_return_a_annual,84.0,0.0,88.85266569707257,trend_log_linear,SP TIOGA COUNTY,state_law_enforcement,0.0,False
OKDI06200,OK,20.0,27.0,24.0,88.0,83.0,59.0,20.0,5.0,5.0,2,5,nibrs_srs_equivalent_annual|srs_return_a_annual,83.0,0.24096385542168675,47.99999999999999,observed|true_partial_month_ratio,SEMINOLE NATN LIGHTHORSE,local_police,0.0,False
NJ0122300,NJ,141.0,137.0,114.0,57.0,111.0,83.0,24.0,12.0,12.0,7,0,cius_publication_annual,83.0,0.2891566265060241,24.0,observed,SOUTH RIVER,local_police,16240.0,True
NC0900400,NC,75.0,81.0,101.0,87.0,82.0,31.0,0.0,0.0,0.0,0,0,srs_return_a_annual,82.0,0.0,77.70696131304742,hist_median|trend_log_linear,WINGATE,local_police,4873.0,False
NY317SG00,NY,101.0,83.0,81.0,0.0,84.0,82.0,0.0,0.0,0.0,0,0,srs_return_a_annual,82.0,0.0,76.75558727767297,trend_log_linear,SP FULTON COUNTY,state_law_enforcement,0.0,False
ID0370000,ID,110.0,90.0,67.0,101.0,81.0,39.0,23.0,11.0,11.0,7,0,nibrs_srs_equivalent_annual,81.0,0.2839506172839506,23.0,observed,OWYHEE,sheriff,9725.0,False
OH0640200,OH,126.0,130.0,114.0,108.0,81.0,20.0,0.0,0.0,0.0,0,0,srs_return_a_annual,81.0,0.0,96.81208727920949,hist_median|trend_log_linear,NEW LEXINGTON,local_police,4697.0,False
AL0340000,AL,242.0,142.0,111.0,178.0,81.0,0.0,0.0,0.0,0.0,0,0,srs_return_a_annual,81.0,0.0,160.6894580715012,hist_median,GENEVA,sheriff,16315.0,False
NYDI02100,NY,160.0,68.0,52.0,72.0,97.0,79.0,0.0,0.0,0.0,0,0,srs_return_a_annual,79.0,0.0,68.52214143067967,trend_log_linear,ONEIDA INDIAN NATION,local_police,0.0,False
IN0090000,IN,0.0,0.0,0.0,77.0,77.0,3.0,0.0,0.0,0.0,0,0,srs_return_a_annual,77.0,0.0,64.29322431009872,hist_median|trend_log_linear,CASS,sheriff,20243.0,False
NC0800700,NC,115.0,84.0,80.0,86.0,77.0,69.0,0.0,0.0,0.0,0,0,srs_return_a_annual,77.0,0.0,79.24607652129384,hist_median,SPENCER,local_police,3372.0,False
IA0600000,IA,7.0,68.0,66.0,77.0,82.0,37.0,19.0,12.0,12.0,7,0,nibrs_srs_equivalent_annual|srs_return_a_annual,77.0,0.24675324675324675,19.0,observed,LYON,sheriff,12569.0,True
GA0710200,GA,136.0,99.0,88.0,76.0,81.0,9.0,19.0,2.0,2.0,4,3,nibrs_srs_equivalent_annual|srs_return_a_annual,76.0,0.25,114.0,observed|true_partial_month_ratio,TALLAPOOSA,local_police,3306.0,False
OH0100000,OH,103.0,76.0,74.0,104.0,76.0,13.0,19.0,7.0,7.0,3,4,nibrs_srs_equivalent_annual|srs_return_a_annual,76.0,0.25,32.57142857142857,observed|true_partial_month_ratio,CARROLL,sheriff,22184.0,False
NY0072200,NY,95.0,105.0,111.0,114.0,76.0,37.0,0.0,0.0,0.0,0,0,srs_return_a_annual,76.0,0.0,51.882280276144655,trend_log_linear,HORSEHEADS VILLAGE,local_police,6464.0,False
NV0150000,NV,130.0,105.0,122.0,93.0,75.0,46.0,15.0,5.0,5.0,7,0,nibrs_srs_equivalent_annual,75.0,0.2,15.0,observed,STOREY,sheriff,4261.0,False
MO0610000,MO,78.0,70.0,60.0,75.0,75.0,57.0,23.0,11.0,11.0,2,5,nibrs_srs_equivalent_annual|srs_return_a_annual,75.0,0.30666666666666664,25.09090909090909,observed|true_partial_month_ratio,MACON,sheriff,8503.0,False
PA0021A00,PA,97.0,107.0,2.0,0.0,75.0,87.0,0.0,0.0,0.0,0,0,srs_return_a_annual,75.0,0.0,86.57388808326266,carryforward_state_trend,OHIO TOWNSHIP,local_police,15439.0,False
KS0810200,KS,128.0,71.0,100.0,100.0,75.0,34.0,0.0,0.0,0.0,0,0,srs_return_a_annual,75.0,0.0,74.01987175493639,hist_median|trend_log_linear,KANSAS STATE UNIVERSITY,special_jurisdiction,0.0,False
MO0950E00,MO,50.0,83.0,0.0,0.0,73.0,89.0,0.0,0.0,0.0,0,0,srs_return_a_annual,73.0,0.0,95.84635397673699,trend_log_linear,WASHINGTON UNIVERSITY,special_jurisdiction,,False
NY339SK00,NY,111.0,98.0,88.0,0.0,85.0,72.0,0.0,0.0,0.0,0,0,srs_return_a_annual,72.0,0.0,70.44309204191273,trend_log_linear,SP PUTNAM COUNTY,state_law_enforcement,0.0,False
MO0770000,MO,75.0,65.0,76.0,75.0,72.0,50.0,20.0,12.0,12.0,7,0,nibrs_srs_equivalent_annual,72.0,0.2777777777777778,20.0,observed,OZARK,sheriff,9177.0,True
CO0530000,CO,102.0,58.0,66.0,79.0,72.0,0.0,15.0,12.0,12.0,7,0,nibrs_srs_equivalent_annual,72.0,0.20833333333333334,15.0,observed,RIO GRANDE,sheriff,5204.0,True
CO0470000,CO,58.0,106.0,88.0,98.0,71.0,0.0,2.0,3.0,3.0,7,0,nibrs_srs_equivalent_annual,71.0,0.028169014084507043,2.0,observed,PARK,sheriff,18236.0,False
MO0690000,MO,57.0,55.0,40.0,71.0,91.0,63.0,18.0,12.0,12.0,7,0,nibrs_srs_equivalent_annual|srs_return_a_annual,71.0,0.2535211267605634,18.0,observed,MONROE,sheriff,6738.0,True
NC0630500,NC,90.0,76.0,97.0,81.0,69.0,0.0,0.0,0.0,0.0,0,0,srs_return_a_annual,69.0,0.0,80.02654291501871,hist_median,CARTHAGE,local_police,3011.0,False
WA0130700,WA,80.0,70.0,66.0,75.0,69.0,41.0,14.0,7.0,7.0,4,3,nibrs_srs_equivalent_annual|srs_return_a_annual,69.0,0.2028985507246377,24.0,observed|true_partial_month_ratio,GRAND COULEE,local_police,2079.0,False
NC0650500,NC,0.0,6.0,162.0,138.0,68.0,0.0,0.0,0.0,0.0,0,0,srs_return_a_annual,68.0,0.0,67.38375875806862,hist_median,UNIV OF NC WILMINGTON,special_jurisdiction,0.0,False
OH0782100,OH,97.0,107.0,67.0,61.0,68.0,78.0,0.0,0.0,0.0,0,0,srs_return_a_annual,68.0,0.0,70.453750592072,hist_median|trend_log_linear,WARREN TOWNSHIP,local_police,5169.0,False
NM0270000,NM,87.0,114.0,88.0,92.0,39.0,68.0,8.0,2.0,2.0,4,3,nibrs_srs_equivalent_annual|srs_return_a_annual,68.0,0.11764705882352941,48.0,observed|true_partial_month_ratio,SIERRA,sheriff,5570.0,False
NC0940000,NC,0.0,129.0,108.0,67.0,73.0,0.0,0.0,0.0,0.0,0,0,srs_return_a_annual,67.0,0.0,76.02747489045453,hist_median,WASHINGTON,sheriff,8413.0,False
MNDI05000,MN,171.0,367.0,34.0,269.0,67.0,0.0,0.0,0.0,0.0,0,0,srs_return_a_annual,67.0,0.0,218.4627819593443,hist_median,RED LAKE AGENCY,local_police,0.0,False
MO0300000,MO,47.0,28.0,41.0,67.0,124.0,66.0,0.0,0.0,0.0,0,0,srs_return_a_annual,67.0,0.0,108.82029346931816,trend_log_linear,DALLAS,sheriff,14166.0,False
WI0690100,WI,161.0,113.0,91.0,0.0,66.0,76.0,0.0,0.0,0.0,0,0,srs_return_a_annual,66.0,0.0,61.09549811803782,trend_log_linear,CLINTONVILLE,local_police,4511.0,False
NB0340000,NE,89.0,89.0,57.0,65.0,70.0,31.0,2.0,2.0,2.0,5,2,nibrs_srs_equivalent_annual|srs_return_a_annual,65.0,0.03076923076923077,12.0,observed|true_partial_month_ratio,GAGE,sheriff,8258.0,False
