"Crimes by Offense and Town"
"Current date: 8/2/2026 12:43:17 AM (Eastern Daylight Time)"
"Data source: Connecticut_SS, Offense Data"
"Jurisdiction by Type: Connecticut"
"Offense Type","Incident Date","Jurisdiction by Geography","Number of Crimes",
"All Offense Types","2021","Old Lyme","55"
"All Offense Types","2021","CSP - Old Lyme","55"
"All Offense Types","2021","Old Saybrook","234"
"All Offense Types","2021","CSP - Old Saybrook","5"
"All Offense Types","2021","Old Saybrook Police Department","229"
"All Offense Types","2021","Orange","731"
"All Offense Types","2021","CSP - Orange","13"
"All Offense Types","2021","Orange Police Department","718"
"All Offense Types","2021","Oxford","60"
"All Offense Types","2021","CSP - Oxford","60"
"All Offense Types","2021","Plainfield","358"
"All Offense Types","2021","CSP - Plainfield","11"
"All Offense Types","2021","Plainfield Police Department","347"
"All Offense Types","2021","Plainville","916"
"All Offense Types","2021","CSP - Plainville","5"
"All Offense Types","2021","Plainville Police Department","911"
"All Offense Types","2021","Plymouth","313"
"All Offense Types","2021","CSP - Plymouth","1"
"All Offense Types","2021","Plymouth Police Department","312"
"All Offense Types","2021","Pomfret","24"
"All Offense Types","2021","CSP - Pomfret","24"
"All Offense Types","2021","Portland","131"
"All Offense Types","2021","CSP - Portland",""
"All Offense Types","2021","Portland Police Department","131"
"All Offense Types","2021","Preston","41"
"All Offense Types","2021","CSP - Preston","41"
"All Offense Types","2021","Prospect","63"
"All Offense Types","2021","CSP - Prospect","63"
"All Offense Types","2021","Putnam","405"
"All Offense Types","2021","CSP - Putnam","46"
"All Offense Types","2021","Putnam Police Department","359"
"All Offense Types","2021","Redding","128"
"All Offense Types","2021","CSP - Redding",""
"All Offense Types","2021","Redding Police Department","128"
"All Offense Types","2021","Ridgefield","100"
"All Offense Types","2021","CSP - Ridgefield",""
"All Offense Types","2021","Ridgefield Police Department","100"
"All Offense Types","2021","Rocky Hill","640"
"All Offense Types","2021","CSP - Rocky Hill","11"
"All Offense Types","2021","Rocky Hill Police Department","629"
"All Offense Types","2021","Roxbury","17"
"All Offense Types","2021","CSP - Roxbury","17"
"All Offense Types","2021","Salem","32"
"All Offense Types","2021","CSP - Salem","32"
"All Offense Types","2021","Salisbury","19"
"All Offense Types","2021","CSP - Salisbury","19"
"All Offense Types","2021","Scotland","8"
"All Offense Types","2021","CSP - Scotland","8"
"All Offense Types","2021","Seymour","323"
"All Offense Types","2021","CSP - Seymour","11"
"All Offense Types","2021","Seymour Police Department","312"
"All Offense Types","2021","Sharon","19"
"All Offense Types","2021","CSP - Sharon","19"
"All Offense Types","2021","Shelton","771"
"All Offense Types","2021","CSP - Shelton","6"
"All Offense Types","2021","Shelton Police Department","765"
"All Offense Types","2021","Sherman","27"
"All Offense Types","2021","CSP - Sherman","27"
"All Offense Types","2021","Simsbury","251"
"All Offense Types","2021","CSP - Simsbury",""
"All Offense Types","2021","Simsbury Police Department","251"
"All Offense Types","2021","Somers","63"
"All Offense Types","2021","CSP - Somers","63"
"All Offense Types","2021","Southbury","217"
"All Offense Types","2021","CSP - Southbury","217"
"All Offense Types","2021","Southington","1,494"
"All Offense Types","2021","CSP - Southington","9"
"All Offense Types","2021","Southington Police Department","1,485"
"All Offense Types","2021","South Windsor","771"
"All Offense Types","2021","CSP - South Windsor",""
"All Offense Types","2021","South Windsor Police Department","771"
"All Offense Types","2021","Sprague","18"
"All Offense Types","2021","CSP - Sprague","18"
"All Offense Types","2021","Stafford","99"
"All Offense Types","2021","CSP - Stafford","99"
"All Offense Types","2021","Stamford","5,077"
"All Offense Types","2021","CSP - Stamford","12"
"All Offense Types","2021","Stamford Police Department","5,065"
"All Offense Types","2021","Sterling","23"
"All Offense Types","2021","CSP - Sterling","23"
"All Offense Types","2021","Stonington","449"
"All Offense Types","2021","CSP - Stonington","1"
"All Offense Types","2021","Stonington Police Department","448"
"All Offense Types","2021","Stratford","1,655"
"All Offense Types","2021","CSP - Stratford","11"
"All Offense Types","2021","Stratford Police Department","1,644"
"All Offense Types","2021","Suffield","207"
"All Offense Types","2021","CSP - Suffield","21"
"All Offense Types","2021","Suffield Police Department","186"
"All Offense Types","2021","Thomaston","167"
"All Offense Types","2021","CSP - Thomaston","3"
"All Offense Types","2021","Thomaston Police Department","164"
"All Offense Types","2021","Thompson","76"
"All Offense Types","2021","CSP - Thompson","76"
"All Offense Types","2021","Tolland","120"
"All Offense Types","2021","CSP - Tolland","120"
"All Offense Types","2021","Torrington","1,168"
"All Offense Types","2021","CSP - Torrington","25"
"All Offense Types","2021","Torrington Police Department","1,143"
"All Offense Types","2021","Trumbull","1,189"
"All Offense Types","2021","CSP - Trumbull","12"
"All Offense Types","2021","Trumbull Police Department","1,177"
"All Offense Types","2021","Union","10"
"All Offense Types","2021","CSP - Union","10"
"All Offense Types","2021","Vernon","825"
"All Offense Types","2021","CSP - Vernon","24"
"All Offense Types","2021","Vernon Police Department","801"
"All Offense Types","2021","Voluntown","17"
"All Offense Types","2021","CSP - Voluntown","17"
"All Offense Types","2021","Wallingford","435"
"All Offense Types","2021","CSP - Wallingford","5"
"All Offense Types","2021","Wallingford Police Department","430"
"All Offense Types","2021","Warren","6"
"All Offense Types","2021","CSP - Warren","6"
"All Offense Types","2021","Washington","27"
"All Offense Types","2021","CSP - Washington","27"
"All Offense Types","2021","Waterbury","9,090"
"All Offense Types","2021","CSP - Waterbury","91"
"All Offense Types","2021","Waterbury Police Department","8,999"
"All Offense Types","2021","Waterford","453"
"All Offense Types","2021","CSP - Waterford","9"
"All Offense Types","2021","Waterford Police Department","444"
"All Offense Types","2021","Watertown","634"
"All Offense Types","2021","CSP - Watertown","4"
"All Offense Types","2021","Watertown Police Department","630"
"All Offense Types","2021","Westbrook","71"
"All Offense Types","2021","CSP - Westbrook","71"
"All Offense Types","2021","West Hartford","2,805"
"All Offense Types","2021","CSP - West Hartford","25"
"All Offense Types","2021","West Hartford Police Department","2,780"
"All Offense Types","2021","West Haven","2,545"
