priority_rank,review_lane,state_abbr,state_fips,ori9,agency_name,agency_type_name,official_is_nibrs,official_effective_nibrs_2024,official_nibrs_start_date,repo_has_srs_2024,repo_has_nibrs_2024,repo_preferred_source_any_offense_2024,repo_reporting_regime_mix_2024,repo_preferred_support_count_2024,official_repo_presence_flag,official_repo_transition_flag,mismatch_reason,state_priority_score_abs
354,missing_in_repo_master,CA,06,CA0199941,Highway Patrol: Castaic Commercial Vehicle Enforcement Facility,State Police,True,True,2021-11-01,False,False,,,0.0,missing_in_repo_master,official_nibrs_started_by_2024_but_repo_no_nibrs,missing_in_repo_master|official_nibrs_no_repo_nibrs|official_start_by_2024_but_repo_no_nibrs,0.0
355,missing_in_repo_master,CA,06,CA0199945,Highway Patrol: Antelope Valley Area Office,State Police,True,True,2021-11-01,False,False,,,0.0,missing_in_repo_master,official_nibrs_started_by_2024_but_repo_no_nibrs,missing_in_repo_master|official_nibrs_no_repo_nibrs|official_start_by_2024_but_repo_no_nibrs,0.0
356,missing_in_repo_master,CA,06,CA0199998,"Highway Patrol: Dignitary Protection Section, South",State Police,True,True,2021-11-01,False,False,,,0.0,missing_in_repo_master,official_nibrs_started_by_2024_but_repo_no_nibrs,missing_in_repo_master|official_nibrs_no_repo_nibrs|official_start_by_2024_but_repo_no_nibrs,0.0
357,present_but_no_2024_observation,CA,06,CA0220100,California Department of Forestry and Fire Protection: Madera-Mariposa-Merced,Other State Agency,True,True,2023-01-01,False,False,,structurally_missing_or_unreliable,0.0,present_but_no_2024_observation,official_nibrs_started_by_2024_but_repo_no_nibrs,official_nibrs_no_repo_nibrs|official_start_by_2024_but_repo_no_nibrs|no_2024_observation,0.0
358,present_but_no_2024_observation,CA,06,CA0231000,California Department of Forestry and Fire Protection: Mendocino,Other State Agency,True,True,2023-01-01,False,False,,structurally_missing_or_unreliable,0.0,present_but_no_2024_observation,official_nibrs_started_by_2024_but_repo_no_nibrs,official_nibrs_no_repo_nibrs|official_start_by_2024_but_repo_no_nibrs|no_2024_observation,0.0
359,missing_in_repo_master,CA,06,CA0249964,Highway Patrol: Chowchilla River Commercial Vehicle Enforcement Facility,State Police,True,True,2021-11-01,False,False,,,0.0,missing_in_repo_master,official_nibrs_started_by_2024_but_repo_no_nibrs,missing_in_repo_master|official_nibrs_no_repo_nibrs|official_start_by_2024_but_repo_no_nibrs,0.0
360,missing_in_repo_master,CA,06,CA0259970,Highway Patrol: Alturas Area Office,State Police,True,True,2021-11-01,False,False,,,0.0,missing_in_repo_master,official_nibrs_started_by_2024_but_repo_no_nibrs,missing_in_repo_master|official_nibrs_no_repo_nibrs|official_start_by_2024_but_repo_no_nibrs,0.0
361,present_but_no_2024_observation,CA,06,CA0272100,California Department of Forestry and Fire Protection: San Benito-Monterey,Other State Agency,True,True,2023-01-01,False,False,,structurally_missing_or_unreliable,0.0,present_but_no_2024_observation,official_nibrs_started_by_2024_but_repo_no_nibrs,official_nibrs_no_repo_nibrs|official_start_by_2024_but_repo_no_nibrs|no_2024_observation,0.0
362,missing_in_repo_master,CA,,CA028130X,Napa Special Investigations Bureau,Other,True,True,2022-12-01,False,False,,,0.0,missing_in_repo_master,official_nibrs_started_by_2024_but_repo_no_nibrs,missing_in_repo_master|official_nibrs_no_repo_nibrs|official_start_by_2024_but_repo_no_nibrs,0.0
363,missing_in_repo_master,CA,06,CA0299922,Highway Patrol: Truckee Area Office,State Police,True,True,2021-11-01,False,False,,,0.0,missing_in_repo_master,official_nibrs_started_by_2024_but_repo_no_nibrs,missing_in_repo_master|official_nibrs_no_repo_nibrs|official_start_by_2024_but_repo_no_nibrs,0.0
